                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0882,                 1.9651,                 1.5456,                0.76592,                0.77355,                0.82577,                0.61006,                0.86261,                 1.6696,                 1.2914,             0.00046922,             0.00046922,             0.00046922
                      2,                0.82505,                 1.1641,                 1.3669,                0.79945,                0.78198,                0.87476,                0.56893,                 1.1006,                 1.5223,                 1.6784,             0.00090811,             0.00090811,             0.00090811
                      3,                0.76691,                 1.0067,                 1.3163,                0.77352,                0.75653,                0.81494,                0.58636,                0.84001,                 1.3454,                 1.1844,              0.0013093,              0.0013093,              0.0013093
                      4,                0.76923,                 0.9671,                 1.3031,                0.77716,                0.81347,                  0.903,                0.73187,                0.72292,                 1.1303,                 1.0571,              0.0012592,              0.0012592,              0.0012592
                      5,                0.70772,                0.88052,                 1.2714,                0.87474,                0.89544,                0.94121,                0.72139,                0.80271,                0.96565,                 1.1841,              0.0012026,              0.0012026,              0.0012026
                      6,                0.68343,                0.80848,                 1.2409,                 0.8934,                0.88901,                0.95424,                0.73763,                0.80625,                0.85783,                 1.0813,              0.0011461,              0.0011461,              0.0011461
                      7,                0.65781,                0.76981,                 1.2187,                0.83127,                 0.8963,                0.93904,                0.81204,                0.63709,                0.85114,                 1.0354,              0.0010895,              0.0010895,              0.0010895
                      8,                0.63156,                0.73395,                 1.2181,                0.90439,                0.89647,                0.95932,                0.80663,                0.67355,                0.81764,                 1.0503,              0.0010329,              0.0010329,              0.0010329
                      9,                0.61397,                0.70051,                 1.1882,                0.86005,                 0.9249,                0.94706,                0.81983,                0.67629,                0.79902,                 1.0507,             0.00097629,             0.00097629,             0.00097629
                     10,                0.57234,                 0.6597,                  1.168,                0.92325,                0.90788,                0.96672,                0.75856,                0.71475,                0.80668,                 1.0007,              0.0009197,              0.0009197,              0.0009197
                     11,                0.57661,                0.64064,                   1.17,                 0.8681,                0.97731,                0.96624,                  0.816,                0.62232,                 0.7055,                0.96629,             0.00086312,             0.00086312,             0.00086312
                     12,                0.55384,                0.62334,                 1.1502,                0.91646,                0.91524,                0.96874,                0.87341,                0.51119,                 0.7349,                0.84999,             0.00080653,             0.00080653,             0.00080653
                     13,                0.52715,                0.58016,                 1.1294,                0.88722,                0.89558,                0.95041,                0.81846,                0.60383,                0.71722,                0.93376,             0.00074994,             0.00074994,             0.00074994
                     14,                0.53522,                0.59061,                 1.1447,                0.91077,                0.92904,                0.96422,                0.82758,                0.66552,                0.78494,                 1.0108,             0.00069335,             0.00069335,             0.00069335
                     15,                0.51224,                0.56076,                 1.1279,                0.91236,                0.93989,                0.96739,                0.84479,                0.56219,                0.61902,                0.89835,             0.00063676,             0.00063676,             0.00063676
                     16,                0.40688,                 0.5069,                 1.0959,                 0.9367,                0.97327,                0.97518,                0.85065,                0.56139,                0.68471,                0.92022,             0.00058017,             0.00058017,             0.00058017
                     17,                0.36912,                0.42437,                 1.0631,                0.95923,                 0.9557,                0.97352,                0.89505,                 0.5089,                 0.5011,                0.84775,             0.00052359,             0.00052359,             0.00052359
                     18,                0.34202,                0.38811,                 1.0348,                0.95496,                0.96031,                0.97428,                0.89518,                0.47115,                0.43559,                0.79193,               0.000467,               0.000467,               0.000467
                     19,                0.32787,                 0.3683,                 1.0328,                0.95981,                0.96439,                0.97922,                0.87988,                0.51372,                0.44063,                0.86329,             0.00041041,             0.00041041,             0.00041041
                     20,                0.31349,                0.34317,                 1.0143,                0.96488,                 0.9727,                0.97436,                0.90296,                0.44376,                0.43837,                0.78031,             0.00035382,             0.00035382,             0.00035382
                     21,                0.29933,                0.33161,                0.99967,                0.96774,                0.96475,                0.97466,                0.89598,                0.46131,                0.41603,                0.79423,             0.00029723,             0.00029723,             0.00029723
                     22,                0.29428,                0.31401,                0.99992,                0.95654,                0.96359,                 0.9751,                0.91193,                 0.4411,                0.40242,                0.77386,             0.00024064,             0.00024064,             0.00024064
                     23,                 0.2832,                0.30018,                0.99411,                0.95419,                 0.9821,                0.97588,                 0.9198,                0.41399,                0.41566,                0.74665,             0.00018406,             0.00018406,             0.00018406
                     24,                0.27366,                0.29199,                0.98044,                0.95253,                0.98096,                 0.9758,                0.92329,                0.41388,                0.40167,                0.74887,             0.00012747,             0.00012747,             0.00012747
                     25,                0.27025,                0.28306,                0.98585,                0.96347,                0.97055,                0.97534,                0.91999,                0.40441,                0.39435,                0.73171,             7.0878e-05,             7.0878e-05,             7.0878e-05
