                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1502,                 2.5071,                 1.5861,                0.01297,                 0.8917,                0.43259,                0.24258,                 1.2322,                 3.0317,                 1.6459,             0.00031438,             0.00031438,             0.00031438
                      2,                 0.7732,                 1.3193,                 1.3481,                0.51711,                0.58727,                 0.5974,                0.35248,                 1.2941,                 2.0279,                 2.1722,             0.00061122,             0.00061122,             0.00061122
                      3,                0.71791,                 1.1196,                 1.3083,                0.47635,                0.51825,                0.42412,                0.21636,                  1.381,                 2.2704,                 1.9756,             0.00087552,             0.00087552,             0.00087552
                      4,                0.70342,                 1.0264,                 1.2819,                 0.5074,                0.67892,                0.56688,                0.28902,                 1.3344,                 1.9069,                  2.086,              0.0011073,              0.0011073,              0.0011073
                      5,                0.70239,                 0.9712,                 1.2911,                0.67344,                0.46795,                0.56419,                0.33635,                  1.323,                 2.1359,                 2.1304,              0.0011461,              0.0011461,              0.0011461
                      6,                0.70258,                0.91387,                 1.2808,                0.77386,                  0.694,                0.75656,                0.56364,                0.84538,                 1.1259,                 1.4731,              0.0010753,              0.0010753,              0.0010753
                      7,                0.62838,                 0.8352,                 1.2343,                0.85954,                0.75445,                 0.8515,                0.58549,                 0.8947,                 1.0382,                 1.3872,              0.0010046,              0.0010046,              0.0010046
                      8,                 0.6116,                0.76983,                 1.2134,                0.81554,                0.83484,                0.88496,                0.65103,                0.85815,                0.87314,                 1.2655,             0.00093385,             0.00093385,             0.00093385
                      9,                0.56146,                0.71141,                 1.1712,                 0.7843,                0.90312,                0.86461,                0.62501,                0.89087,                0.90704,                 1.3404,             0.00086312,             0.00086312,             0.00086312
                     10,                0.54685,                0.66797,                 1.1693,                  0.831,                0.85843,                0.89276,                0.64402,                0.85815,                0.86678,                 1.2876,             0.00079238,             0.00079238,             0.00079238
                     11,                0.45992,                0.68586,                 1.1686,                0.76788,                 0.9168,                0.84639,                0.67964,                0.59112,                 1.2603,                0.99073,             0.00072164,             0.00072164,             0.00072164
                     12,                0.41767,                0.52033,                 1.1304,                 0.8968,                0.92483,                0.91665,                0.78313,                0.55397,                0.62813,                0.92204,             0.00065091,             0.00065091,             0.00065091
                     13,                0.37952,                0.44952,                 1.0886,                0.92743,                0.94119,                0.94818,                0.81593,                0.50763,                0.51508,                0.84453,             0.00058017,             0.00058017,             0.00058017
                     14,                0.37484,                0.42407,                 1.0846,                 0.9036,                0.92116,                0.94012,                0.79977,                0.52456,                0.52253,                0.88306,             0.00050944,             0.00050944,             0.00050944
                     15,                0.35706,                0.40289,                 1.0751,                0.92847,                0.95373,                 0.9536,                0.82991,                0.52978,                 0.5116,                0.86358,              0.0004387,              0.0004387,              0.0004387
                     16,                0.33571,                0.37677,                 1.0457,                0.92362,                0.94971,                0.95549,                0.82374,                0.48236,                0.47409,                0.84052,             0.00036797,             0.00036797,             0.00036797
                     17,                0.32587,                0.35455,                 1.0375,                0.96253,                 0.9216,                0.96533,                0.85042,                0.49994,                0.45783,                0.82442,             0.00029723,             0.00029723,             0.00029723
                     18,                0.30698,                0.34255,                 1.0307,                0.96619,                0.91758,                0.96606,                0.86432,                 0.4406,                 0.4325,                 0.7791,              0.0002265,              0.0002265,              0.0002265
                     19,                0.28503,                0.31927,                 1.0117,                0.89137,                0.95373,                0.95316,                0.86042,                0.44332,                0.44224,                0.79269,             0.00015576,             0.00015576,             0.00015576
                     20,                 0.2782,                0.30809,                  1.001,                0.93169,                0.94692,                0.95811,                 0.8803,                0.41272,                0.41799,                0.77262,             8.5026e-05,             8.5026e-05,             8.5026e-05
