Image_Name: Family_YO
Class: Shoe
Inner Main Points: [(375.3178206808253, 778.6055500415456), (416.38732169857076, 780.6068304624673), (398.44758866878215, 784.758017126543), (369.0978402210106, 777.1103110358029), (373.039721253873, 776.9227018071965)]
Mask Points:
[[     356.03      765.93]
 [     356.03      785.95]
 [     360.03      785.95]
 [     361.37      787.28]
 [      362.7      787.28]
 [     364.04      788.62]
 [     365.37      788.62]
 [     366.71      789.95]
 [     368.04      789.95]
 [     369.38      791.28]
 [     372.04      791.28]
 [     373.38      792.62]
 [     378.72      792.62]
 [     380.05      793.95]
 [     390.73      793.95]
 [     392.06      795.29]
 [     413.41      795.29]
 [     414.74      793.95]
 [     424.08      793.95]
 [     425.42      792.62]
 [     430.76      792.62]
 [     432.09      791.28]
 [     433.43      791.28]
 [     434.76      789.95]
 [      440.1      789.95]
 [      440.1      783.28]
 [     434.76      783.28]
 [     429.42      777.94]
 [     428.09      777.94]
 [     422.75       772.6]
 [     422.75      771.27]
 [     421.42      769.93]
 [     421.42      765.93]]
