Image_Name: b13d189ceab6aa49bbe744e9ac6c3508
Class: Hand
Inner Main Points: [(160.04791448649942, 994.5513008782905), (297.7163556671004, 937.927436545901), (610.1768546002319, 1056.8085595272805), (256.89760245322896, 1054.9450913638539), (471.95983343301384, 986.3949963957494)]
Mask Points:
[[        165         894]
 [        165         903]
 [        162         906]
 [        162         909]
 [        159         912]
 [        159         915]
 [        156         918]
 [        156         927]
 [        153         930]
 [        153         936]
 [        150         939]
 [        150         942]
 [        141         951]
 [        138         951]
 [        132         957]
 [        129         957]
 [        126         960]
 [        123         960]
 [        117         966]
 [        114         966]
 [        111         969]
 [        108         969]
 [        102         975]
 [         99         975]
 [         93         981]
 [         90         981]
 [         78         993]
 [         66         993]
 [         66        1080]
 [        672        1080]
 [        672        1065]
 [        669        1062]
 [        669        1053]
 [        663        1047]
 [        663        1026]
 [        660        1026]
 [        657        1029]
 [        654        1029]
 [        654        1035]
 [        651        1038]
 [        651        1041]
 [        645        1047]
 [        630        1047]
 [        627        1044]
 [        624        1044]
 [        621        1041]
 [        618        1041]
 [        606        1029]
 [        600        1029]
 [        588        1017]
 [        588        1014]
 [        582        1008]
 [        579        1008]
 [        576        1005]
 [        573        1005]
 [        570        1002]
 [        567        1002]
 [        564         999]
 [        561         999]
 [        558         996]
 [        555         996]
 [        552         993]
 [        549         993]
 [        546         990]
 [        543         990]
 [        534         981]
 [        531         981]
 [        528         978]
 [        522         978]
 [        519         975]
 [        516         975]
 [        513         972]
 [        510         972]
 [        507         969]
 [        504         969]
 [        501         966]
 [        498         966]
 [        495         963]
 [        489         963]
 [        486         960]
 [        480         960]
 [        477         957]
 [        471         957]
 [        468         954]
 [        459         954]
 [        456         951]
 [        453         951]
 [        450         948]
 [        441         948]
 [        438         945]
 [        429         945]
 [        426         942]
 [        414         942]
 [        411         939]
 [        405         939]
 [        402         936]
 [        393         936]
 [        390         933]
 [        384         933]
 [        381         930]
 [        378         930]
 [        375         927]
 [        369         927]
 [        366         924]
 [        363         924]
 [        360         921]
 [        357         921]
 [        348         912]
 [        345         912]
 [        342         909]
 [        339         909]
 [        333         903]
 [        333         894]]
