Image_Name: b13d189ceab6aa49bbe744e9ac6c3508
Class: Stock
Inner Main Points: [(201.93352397360013, 946.8645667159193), (428.76539860454056, 979.1346154595018), (157.13972964779128, 985.8382268487373), (333.9961086822846, 1017.8451040921998), (382.329594466829, 981.5037928847348)]
Mask Points:
[[        165         894]
 [        165         903]
 [        162         906]
 [        162         909]
 [        159         912]
 [        159         915]
 [        156         918]
 [        156         927]
 [        153         930]
 [        153         936]
 [        150         939]
 [        150         942]
 [        141         951]
 [        138         951]
 [        129         960]
 [        123         960]
 [        117         966]
 [        114         966]
 [        108         972]
 [        105         972]
 [        102         975]
 [         99         975]
 [         90         984]
 [         87         984]
 [         78         993]
 [         66         993]
 [         66        1080]
 [        675        1080]
 [        675        1053]
 [        618        1053]
 [        609        1044]
 [        609        1041]
 [        603        1035]
 [        597        1035]
 [        594        1032]
 [        591        1032]
 [        582        1023]
 [        582        1014]
 [        579        1011]
 [        576        1011]
 [        573        1008]
 [        570        1008]
 [        567        1005]
 [        564        1005]
 [        558         999]
 [        555         999]
 [        552         996]
 [        546         996]
 [        534         984]
 [        531         984]
 [        528         981]
 [        525         981]
 [        522         978]
 [        519         978]
 [        516         975]
 [        513         975]
 [        510         972]
 [        507         972]
 [        501         966]
 [        495         966]
 [        492         963]
 [        489         963]
 [        486         960]
 [        480         960]
 [        477         957]
 [        468         957]
 [        465         954]
 [        459         954]
 [        456         951]
 [        453         951]
 [        450         948]
 [        438         948]
 [        435         945]
 [        426         945]
 [        423         942]
 [        411         942]
 [        408         939]
 [        402         939]
 [        399         936]
 [        393         936]
 [        390         933]
 [        384         933]
 [        381         930]
 [        375         930]
 [        372         927]
 [        366         927]
 [        363         924]
 [        360         924]
 [        351         915]
 [        348         915]
 [        342         909]
 [        336         909]
 [        330         903]
 [        330         894]]
