Image_Name: _a_10,100 copy
Class: Face
Inner Main Points: [(912.0872935479026, 133.10050228235133), (918.4647817900882, 312.02217818408167), (874.5435669773713, 292.94662366431373), (887.2395913469405, 167.84268748587976), (1028.36710330188, 240.6811874336313)]
Mask Points:
[[        906         102]
 [        906         111]
 [        894         123]
 [        891         123]
 [        888         126]
 [        888         129]
 [        879         138]
 [        879         141]
 [        873         147]
 [        873         150]
 [        870         153]
 [        870         156]
 [        867         159]
 [        867         165]
 [        864         168]
 [        864         171]
 [        861         174]
 [        861         177]
 [        855         183]
 [        846         183]
 [        846         264]
 [        855         264]
 [        858         267]
 [        858         270]
 [        861         273]
 [        861         282]
 [        864         285]
 [        864         303]
 [        882         321]
 [        885         321]
 [        888         324]
 [        891         324]
 [        894         327]
 [        897         327]
 [        900         330]
 [        906         330]
 [        909         333]
 [        921         333]
 [        924         336]
 [        930         336]
 [        933         333]
 [        945         333]
 [        948         330]
 [        978         330]
 [        981         327]
 [        987         327]
 [        990         324]
 [        993         324]
 [        996         321]
 [        999         321]
 [       1002         318]
 [       1005         318]
 [       1014         309]
 [       1017         309]
 [       1020         306]
 [       1020         294]
 [       1023         291]
 [       1023         285]
 [       1026         282]
 [       1026         273]
 [       1029         270]
 [       1029         264]
 [       1038         255]
 [       1047         255]
 [       1047         183]
 [       1035         183]
 [       1032         180]
 [       1029         180]
 [       1026         177]
 [       1020         177]
 [       1017         180]
 [       1014         180]
 [       1011         177]
 [       1011         156]
 [       1008         153]
 [       1008         147]
 [       1005         144]
 [       1005         141]
 [        993         129]
 [        990         129]
 [        987         126]
 [        984         126]
 [        978         120]
 [        975         120]
 [        972         123]
 [        972         129]
 [        969         132]
 [        969         141]
 [        966         144]
 [        963         144]
 [        948         129]
 [        948         126]
 [        945         123]
 [        945         120]
 [        939         114]
 [        939         102]]
