Image_Name: _a_16,100 copy
Class: Stock
Inner Main Points: [(821.3838104057813, 1042.8948826495084), (827.2134463505431, 1047.5575125094033), (860.5735602237016, 1046.5956486466087), (822.6720898082212, 1048.972013217571), (835.7557888352025, 1048.4481660358779)]
Mask Points:
[[        810        1023]
 [        810        1059]
 [        873        1059]
 [        873        1047]
 [        882        1038]
 [        888        1038]
 [        891        1035]
 [        903        1035]
 [        903        1029]
 [        888        1029]
 [        885        1032]
 [        864        1032]
 [        861        1035]
 [        855        1035]
 [        852        1038]
 [        849        1038]
 [        846        1041]
 [        843        1041]
 [        840        1038]
 [        834        1038]
 [        828        1032]
 [        828        1029]
 [        822        1023]]
