Image_Name: c904f9fa5f90697aaa2c3260a51037ac
Class: Hair
Inner Main Points: [(471.5421577710972, 285.1263898774364), (358.89996811311335, 70.7409838904623), (400.55630982032915, 133.16853580164093), (428.94394564761706, 203.49804362004988), (465.03514102536496, 260.5920432701111)]
Mask Points:
[[     268.38       14.25]
 [     268.38      26.125]
 [     270.75        28.5]
 [     270.75       33.25]
 [     273.12      35.625]
 [     273.12       42.75]
 [     270.75      45.125]
 [     268.38      45.125]
 [        266        47.5]
 [     251.75        47.5]
 [     249.38      49.875]
 [     242.25      49.875]
 [     239.88       52.25]
 [     235.12       52.25]
 [     230.38          57]
 [        228          57]
 [     220.88      64.125]
 [      218.5      64.125]
 [     213.75      68.875]
 [     211.38      68.875]
 [     206.62      73.625]
 [     204.25      73.625]
 [     201.88          76]
 [      199.5          76]
 [     197.12      78.375]
 [     194.75      78.375]
 [     192.38       80.75]
 [        190       80.75]
 [     185.25        85.5]
 [     182.88        85.5]
 [      180.5      87.875]
 [     178.12      87.875]
 [     175.75       90.25]
 [     173.38       90.25]
 [     168.62          95]
 [     166.25          95]
 [     163.88      97.375]
 [      161.5      97.375]
 [     159.12       99.75]
 [     156.75       99.75]
 [     154.38      102.12]
 [        152      102.12]
 [     149.62       104.5]
 [     144.88       104.5]
 [      142.5      106.88]
 [     137.75      106.88]
 [     135.38      109.25]
 [      123.5      109.25]
 [     121.12      111.62]
 [     116.38      111.62]
 [        114         114]
 [     111.62         114]
 [     109.25      116.38]
 [     109.25      118.75]
 [     111.62      121.12]
 [     111.62       123.5]
 [        114      125.88]
 [        114      128.25]
 [     116.38      130.62]
 [     116.38         133]
 [     118.75      135.38]
 [     118.75      149.62]
 [        114      154.38]
 [        114      156.75]
 [     109.25       161.5]
 [     109.25      163.88]
 [     102.12         171]
 [     102.12      173.38]
 [         95       180.5]
 [         95      182.88]
 [      80.75      197.12]
 [      71.25      197.12]
 [      71.25      213.75]
 [     83.125      213.75]
 [       85.5      216.12]
 [     87.875      216.12]
 [      90.25       218.5]
 [     92.625       218.5]
 [         95      220.88]
 [         95      232.75]
 [     92.625      235.12]
 [     92.625      242.25]
 [      90.25      244.62]
 [      90.25      251.75]
 [     87.875      254.12]
 [     87.875       256.5]
 [       85.5      258.88]
 [       85.5      261.25]
 [     78.375      268.38]
 [      71.25      268.38]
 [      71.25      280.25]
 [     92.625      280.25]
 [         95      282.62]
 [      99.75      282.62]
 [      104.5      287.38]
 [      104.5      311.12]
 [     102.12       313.5]
 [     102.12         323]
 [      99.75      325.38]
 [      99.75       332.5]
 [     116.38       332.5]
 [     121.12      337.25]
 [      123.5      337.25]
 [     125.88      339.62]
 [     137.75      339.62]
 [     140.12      337.25]
 [     140.12      308.75]
 [     137.75      306.38]
 [     137.75      270.75]
 [     140.12      268.38]
 [     140.12      258.88]
 [      142.5       256.5]
 [      142.5         247]
 [     144.88      244.62]
 [     144.88      232.75]
 [     147.25      230.38]
 [     147.25      223.25]
 [     149.62      220.88]
 [     149.62       218.5]
 [        152      216.12]
 [        152      213.75]
 [     154.38      211.38]
 [     156.75      211.38]
 [     159.12      213.75]
 [     159.12      216.12]
 [      161.5       218.5]
 [      161.5      220.88]
 [     163.88      223.25]
 [     163.88         228]
 [     173.38         228]
 [     173.38       218.5]
 [     175.75      216.12]
 [     175.75      206.62]
 [     178.12      204.25]
 [     178.12       199.5]
 [      180.5      197.12]
 [      180.5      194.75]
 [     182.88      192.38]
 [     182.88      187.62]
 [     185.25      185.25]
 [     185.25      182.88]
 [     187.62       180.5]
 [     187.62      178.12]
 [        190      175.75]
 [        190      173.38]
 [     192.38         171]
 [     192.38      168.62]
 [     194.75      166.25]
 [     194.75      163.88]
 [     216.12       142.5]
 [      218.5       142.5]
 [     225.62      135.38]
 [     230.38      135.38]
 [     232.75         133]
 [     235.12         133]
 [      237.5      130.62]
 [     239.88      130.62]
 [     242.25      128.25]
 [     244.62      128.25]
 [        247      125.88]
 [     254.12      125.88]
 [      256.5       123.5]
 [     261.25       123.5]
 [     270.75         133]
 [     270.75      135.38]
 [      275.5      140.12]
 [      275.5       142.5]
 [     280.25      147.25]
 [     280.25      149.62]
 [     287.38      156.75]
 [     287.38      159.12]
 [     292.12      163.88]
 [      294.5      163.88]
 [     308.75      178.12]
 [     311.12      178.12]
 [     315.88      182.88]
 [     318.25      182.88]
 [     318.25      154.38]
 [     320.62         152]
 [     320.62      149.62]
 [     325.38      144.88]
 [     327.75      144.88]
 [     330.12      147.25]
 [      332.5      147.25]
 [     334.88      149.62]
 [     337.25      149.62]
 [     339.62         152]
 [        342         152]
 [     344.38      154.38]
 [     346.75      154.38]
 [      351.5      159.12]
 [     353.88      159.12]
 [     356.25       161.5]
 [     358.62       161.5]
 [        361      163.88]
 [     363.38      163.88]
 [     372.88      173.38]
 [     372.88      175.75]
 [     375.25      178.12]
 [     375.25       180.5]
 [     377.62      182.88]
 [     377.62         190]
 [        380      192.38]
 [        380      206.62]
 [     382.38         209]
 [     382.38      239.88]
 [     387.12      239.88]
 [     391.88      235.12]
 [     396.62      235.12]
 [        399      232.75]
 [     403.75      232.75]
 [     413.25      242.25]
 [     413.25      244.62]
 [     415.62         247]
 [     415.62      249.38]
 [        418      251.75]
 [        418      254.12]
 [     420.38       256.5]
 [     420.38         266]
 [     422.75      268.38]
 [     422.75      292.12]
 [     425.12       294.5]
 [     425.12      320.62]
 [      427.5         323]
 [      427.5      325.38]
 [     432.25      325.38]
 [        437      320.62]
 [     439.38      320.62]
 [     441.75      318.25]
 [     448.88      318.25]
 [     451.25      315.88]
 [        456      315.88]
 [     463.12      308.75]
 [     463.12      306.38]
 [     470.25      299.25]
 [        475      299.25]
 [     477.38      296.88]
 [     479.75      296.88]
 [     482.12      299.25]
 [     489.25      299.25]
 [     491.62      296.88]
 [        494      296.88]
 [        494      287.38]
 [     491.62         285]
 [     491.62      282.62]
 [     489.25      280.25]
 [     489.25         266]
 [     491.62      263.62]
 [     491.62      261.25]
 [     498.75      254.12]
 [     505.88      254.12]
 [     505.88      242.25]
 [     496.38      242.25]
 [        494      239.88]
 [     491.62      239.88]
 [     482.12      230.38]
 [     482.12         228]
 [     479.75      225.62]
 [     479.75      220.88]
 [     477.38       218.5]
 [     477.38         209]
 [        475      206.62]
 [        475       199.5]
 [     472.62      197.12]
 [     472.62      192.38]
 [     470.25         190]
 [     470.25      185.25]
 [     467.88      182.88]
 [     467.88      178.12]
 [      465.5      175.75]
 [      465.5      173.38]
 [     463.12         171]
 [     463.12      168.62]
 [     460.75      166.25]
 [     460.75      163.88]
 [     458.38       161.5]
 [     458.38      156.75]
 [        456      154.38]
 [        456      149.62]
 [     453.62      147.25]
 [     453.62      144.88]
 [        456       142.5]
 [     458.38       142.5]
 [     463.12      137.75]
 [      465.5      137.75]
 [     470.25         133]
 [     470.25      125.88]
 [     467.88      125.88]
 [      465.5       123.5]
 [     463.12       123.5]
 [     460.75      121.12]
 [     458.38      121.12]
 [        456      118.75]
 [     453.62      118.75]
 [     448.88         114]
 [      446.5         114]
 [     441.75      109.25]
 [     439.38      109.25]
 [        437      106.88]
 [     434.62      106.88]
 [     429.88      102.12]
 [      427.5      102.12]
 [     422.75      97.375]
 [     420.38      97.375]
 [     415.62      92.625]
 [     413.25      92.625]
 [      408.5      87.875]
 [     406.12      87.875]
 [     403.75        85.5]
 [     401.38        85.5]
 [     396.62       80.75]
 [     394.25       80.75]
 [     391.88      78.375]
 [      389.5      78.375]
 [     387.12          76]
 [     384.75          76]
 [     382.38      73.625]
 [        380      73.625]
 [     377.62       71.25]
 [     375.25       71.25]
 [     372.88      68.875]
 [     375.25        66.5]
 [     375.25      64.125]
 [        380      59.375]
 [        380       52.25]
 [     377.62       52.25]
 [     375.25      49.875]
 [      313.5      49.875]
 [     311.12        47.5]
 [     308.75        47.5]
 [      294.5       33.25]
 [      294.5      30.875]
 [     287.38       23.75]
 [     287.38       14.25]]
