                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3621,                  2.521,                 1.7059,                0.01031,                0.94593,                0.38554,                 0.2171,                 1.2126,                 2.9729,                 1.5382,             0.00032867,             0.00032867,             0.00032867
                      2,                  0.843,                  1.286,                 1.3781,                0.62898,                0.65938,                 0.7014,                0.49286,                 1.0363,                 1.9675,                 1.6032,             0.00063838,             0.00063838,             0.00063838
                      3,                0.74752,                 1.0603,                 1.3033,                0.57204,                0.55558,                0.59108,                0.40569,                  1.024,                 1.9924,                 1.4313,             0.00091415,             0.00091415,             0.00091415
                      4,                0.75039,                 1.0022,                 1.3075,                0.45857,                0.41146,                0.34954,                0.18429,                 1.8909,                 3.0965,                 2.6274,               0.001156,               0.001156,               0.001156
                      5,                0.74783,                0.94456,                 1.2877,                 0.6537,                0.41323,                0.46513,                0.30749,                 1.5979,                 2.2094,                 2.4266,              0.0011461,              0.0011461,              0.0011461
                      6,                0.71774,                  0.868,                 1.2752,                0.55629,                0.65405,                0.65057,                0.38289,                 1.3201,                 1.5662,                 1.7714,              0.0010753,              0.0010753,              0.0010753
                      7,                0.66572,                0.81307,                 1.2301,                0.57328,                0.72968,                0.63267,                 0.3849,                 1.2959,                 2.3363,                  1.649,              0.0010046,              0.0010046,              0.0010046
                      8,                0.64851,                0.77594,                 1.2224,                 0.8987,                0.91281,                0.94746,                0.73953,                0.76063,                0.82649,                 1.2302,             0.00093385,             0.00093385,             0.00093385
                      9,                0.58865,                0.69102,                 1.1676,                 0.7852,                0.80283,                  0.859,                0.63846,                0.88392,                0.99965,                 1.3881,             0.00086312,             0.00086312,             0.00086312
                     10,                0.58935,                 0.6686,                 1.1753,                0.84864,                0.88468,                0.91739,                0.73974,                0.69784,                0.72844,                 1.0558,             0.00079238,             0.00079238,             0.00079238
                     11,                0.46931,                0.64973,                 1.1441,                0.79928,                0.89605,                 0.8758,                0.74779,                 0.5697,                0.96803,                0.93681,             0.00072164,             0.00072164,             0.00072164
                     12,                0.41627,                0.49976,                 1.0984,                0.85381,                0.92971,                0.92165,                0.82487,                 0.5688,                 0.7121,                0.92654,             0.00065091,             0.00065091,             0.00065091
                     13,                0.39019,                  0.442,                 1.0546,                0.91068,                0.95557,                0.95783,                0.87204,                0.46733,                0.50661,                0.77888,             0.00058017,             0.00058017,             0.00058017
                     14,                0.36428,                0.42401,                 1.0337,                0.92674,                0.95726,                0.97137,                0.87057,                0.53934,                0.52517,                 0.8749,             0.00050944,             0.00050944,             0.00050944
                     15,                0.35508,                0.39499,                 1.0361,                0.93186,                0.94008,                0.96617,                0.89961,                0.43406,                0.48105,                0.76444,              0.0004387,              0.0004387,              0.0004387
                     16,                 0.3454,                0.37809,                 1.0235,                0.92928,                0.96832,                0.97498,                0.88487,                0.44873,                0.44392,                0.79334,             0.00036797,             0.00036797,             0.00036797
                     17,                0.32581,                0.35466,                 1.0175,                0.94976,                0.96058,                 0.9753,                0.91133,                0.42092,                0.41614,                0.74358,             0.00029723,             0.00029723,             0.00029723
                     18,                0.31084,                0.35097,                 1.0081,                0.92958,                0.94923,                0.97337,                0.90263,                0.43935,                0.43866,                0.75849,              0.0002265,              0.0002265,              0.0002265
                     19,                0.29427,                0.31838,                0.98982,                0.95184,                 0.9503,                0.97929,                 0.9186,                0.42069,                0.40556,                0.74606,             0.00015576,             0.00015576,             0.00015576
                     20,                0.28435,                0.30949,                0.98192,                0.94384,                0.95622,                0.97885,                 0.9276,                0.38065,                0.39338,                0.70698,             8.5026e-05,             8.5026e-05,             8.5026e-05
