Image_Name: 03c5e2863946c180b7a2a70b89874662
Class: Shoe
Inner Main Points: [(122.08908911891724, 839.7696915706142), (133.06986175944806, 868.218212416807), (151.57136167196757, 869.4132799908825), (107.32898900260494, 871.7313210581261), (147.85551743835072, 841.122872635013)]
Mask Points:
[[     122.81      814.36]
 [     122.81      820.04]
 [     111.46      831.39]
 [     110.04      831.39]
 [     105.78      835.64]
 [     104.36      835.64]
 [      95.85      844.16]
 [      95.85      845.58]
 [     93.013      848.41]
 [     87.338      848.41]
 [     87.338      881.04]
 [     93.013      881.04]
 [     94.431      882.46]
 [     98.688      882.46]
 [     100.11      883.88]
 [      107.2      883.88]
 [     108.62       885.3]
 [     124.23       885.3]
 [     125.64      883.88]
 [     136.99      883.88]
 [     138.41      882.46]
 [     148.34      882.46]
 [     149.76      881.04]
 [     155.44      881.04]
 [     156.86      879.63]
 [     161.11      879.63]
 [     162.53      878.21]
 [     168.21      878.21]
 [     169.62      876.79]
 [     176.72      876.79]
 [     178.14      875.37]
 [     182.39      875.37]
 [     185.23      872.53]
 [     186.65      872.53]
 [     189.49      869.69]
 [     193.74      869.69]
 [     193.74      822.88]
 [     189.49      822.88]
 [     182.39      829.97]
 [     180.98      829.97]
 [      175.3      835.64]
 [     173.88      835.64]
 [     172.46      837.06]
 [     168.21      837.06]
 [     166.79      838.48]
 [     165.37      838.48]
 [     163.95      837.06]
 [     162.53      837.06]
 [     159.69      834.23]
 [     159.69      832.81]
 [     158.28      831.39]
 [     158.28      828.55]
 [     156.86      827.13]
 [     156.86      825.71]
 [      152.6      821.46]
 [     151.18      821.46]
 [     149.76      820.04]
 [     149.76      814.36]]
