Image_Name: 1d5fb668e097948d03c9087372eae883
Class: Shoe
Inner Main Points: [(215.52920102761297, 855.3565908992034), (245.59909469682705, 883.5522375738501), (217.34997082756686, 864.5580440868745), (240.7772309864251, 868.4792628018891), (230.8873025632293, 850.5712305914396)]
Mask Points:
[[     257.35      827.72]
 [     257.35      833.38]
 [     258.76      834.79]
 [     258.76      839.03]
 [     257.35      840.44]
 [     257.35      841.85]
 [     254.52      844.67]
 [      251.7      844.67]
 [     250.29      843.26]
 [     248.88      843.26]
 [     247.46      841.85]
 [     246.05      841.85]
 [     243.22      839.03]
 [     238.99      839.03]
 [     237.57      837.61]
 [     223.45      837.61]
 [     222.04      839.03]
 [      217.8      839.03]
 [     216.39      840.44]
 [     214.97      840.44]
 [     213.56      841.85]
 [     212.15      841.85]
 [     210.74      843.26]
 [     209.32      843.26]
 [     207.91      844.67]
 [      206.5      843.26]
 [     203.68      843.26]
 [     202.26      841.85]
 [     198.02      841.85]
 [     198.02      887.05]
 [     203.68      887.05]
 [     205.09      888.46]
 [     205.09      894.11]
 [     254.52      894.11]
 [     254.52      889.88]
 [     257.35      887.05]
 [     260.17      887.05]
 [     261.59      885.64]
 [        263      885.64]
 [     264.41      884.22]
 [     265.82      884.22]
 [     265.82      882.81]
 [     270.06      878.58]
 [     275.71      878.58]
 [     275.71      841.85]
 [     271.48      841.85]
 [     268.65      839.03]
 [     268.65      837.61]
 [     267.24       836.2]
 [     267.24      834.79]
 [     265.82      833.38]
 [     265.82      827.72]]
