Image_Name: 1d5fb668e097948d03c9087372eae883
Class: Stock
Inner Main Points: [(141.48270537013386, 819.085404929353), (118.46528831888301, 813.4376515005301), (144.15590233029238, 822.7049585222329), (143.15691108813795, 811.242110530155), (131.54818748303168, 821.837733832236)]
Mask Points:
[[     107.62      799.47]
 [     107.62      840.44]
 [     113.27      840.44]
 [     117.51       836.2]
 [     118.92       836.2]
 [     120.34      834.79]
 [     123.16      834.79]
 [     124.57      833.38]
 [     131.64      833.38]
 [     133.05      831.96]
 [     137.29      831.96]
 [      138.7      833.38]
 [     142.94      833.38]
 [     144.35      834.79]
 [     145.76      834.79]
 [     147.18       836.2]
 [        150       836.2]
 [     151.41      837.61]
 [     152.82      837.61]
 [     152.82       836.2]
 [     154.24      834.79]
 [     154.24      831.96]
 [     155.65      830.55]
 [     155.65      823.49]
 [     157.06      822.08]
 [     157.06      817.84]
 [     158.47      816.42]
 [     162.71      816.42]
 [     162.71      799.47]]
