Image_Name: 40e91134f556e7089a3019c31d360178
Class: Hand
Inner Main Points: [(372.5774922999967, 609.6066838266554), (361.9696991467546, 595.2694108678267), (358.5030821720285, 603.5799519350702), (364.00038314535425, 616.2213036792732), (359.3172189392087, 614.6909510125777)]
Mask Points:
[[     337.86      579.12]
 [     337.86      583.36]
 [      330.8      590.42]
 [     329.39      590.42]
 [     326.56      593.25]
 [     322.32      593.25]
 [     322.32      611.61]
 [     326.56      611.61]
 [     327.98      613.03]
 [      330.8      613.03]
 [     332.21      614.44]
 [     336.45      614.44]
 [     337.86      615.85]
 [      342.1      615.85]
 [     343.51      617.26]
 [     346.34      617.26]
 [     349.16      620.09]
 [     349.16       621.5]
 [     350.57      622.91]
 [     350.57      625.74]
 [     351.99      627.15]
 [     351.99      628.56]
 [     359.05      635.62]
 [     359.05      639.86]
 [     373.18      639.86]
 [     373.18      635.62]
 [     374.59      634.21]
 [     374.59      628.56]
 [        376      627.15]
 [        376      625.74]
 [     377.41      624.33]
 [     383.06      629.97]
 [      387.3      629.97]
 [     388.71      631.39]
 [     391.54      628.56]
 [     391.54      627.15]
 [     392.95      625.74]
 [     392.95      620.09]
 [     391.54      618.67]
 [     391.54      617.26]
 [     392.95      615.85]
 [     392.95      613.03]
 [     394.36      611.61]
 [     395.78      611.61]
 [     397.19       610.2]
 [      398.6       610.2]
 [     400.01      608.79]
 [     405.66      608.79]
 [     405.66      603.14]
 [     401.43      603.14]
 [      398.6      600.31]
 [      398.6       598.9]
 [     394.36      594.66]
 [     392.95      594.66]
 [     391.54      593.25]
 [     390.13      593.25]
 [     388.71      591.84]
 [      387.3      591.84]
 [     385.89      590.42]
 [     384.48      590.42]
 [     383.06      589.01]
 [     381.65      589.01]
 [     380.24       587.6]
 [     378.83       587.6]
 [     377.41      586.19]
 [        376      586.19]
 [     374.59      584.78]
 [     374.59      579.12]]
