Image_Name: 40e91134f556e7089a3019c31d360178
Class: Stock
Inner Main Points: [(219.43869381394276, 820.4966441818565), (214.16876459110972, 826.6899092601352), (241.328368913807, 818.4907473023013), (225.9867574837163, 816.007926942656), (228.23556591061538, 825.3268255190884)]
Mask Points:
[[     203.68      805.12]
 [     203.68      841.85]
 [     209.32      841.85]
 [     210.74      840.44]
 [     213.56      840.44]
 [     214.97      839.03]
 [      217.8      839.03]
 [     219.21      837.61]
 [     223.45      837.61]
 [     224.86       836.2]
 [     236.16       836.2]
 [     237.57      837.61]
 [     241.81      837.61]
 [     243.22      839.03]
 [     244.64      839.03]
 [     246.05      840.44]
 [     247.46      840.44]
 [     248.88      841.85]
 [      251.7      841.85]
 [     253.11      843.26]
 [     254.52      843.26]
 [     254.52      841.85]
 [     255.94      840.44]
 [     255.94       836.2]
 [     254.52      834.79]
 [     254.52      826.31]
 [     253.11       824.9]
 [     253.11      817.84]
 [     254.52      816.42]
 [     254.52      805.12]]
