Image_Name: 4ae6832d4bd2d58853cc3503072ea2fa
Class: Shoe
Inner Main Points: [(270.9485393093953, 870.3747273631515), (302.5492670090145, 873.3193787390494), (308.42712622200423, 868.3944828511756), (258.67734813338257, 850.9035950023207), (240.0687597267944, 865.7515702323643)]
Mask Points:
[[     250.49      820.04]
 [     250.49      825.71]
 [     246.24      829.97]
 [     246.24      831.39]
 [      243.4      834.23]
 [      243.4      835.64]
 [     241.98      837.06]
 [     237.73      837.06]
 [     236.31      835.64]
 [     234.89      835.64]
 [     230.63      831.39]
 [     230.63      829.97]
 [     227.79      827.13]
 [     223.54      827.13]
 [     223.54      875.37]
 [     229.21      875.37]
 [     232.05      878.21]
 [     233.47      878.21]
 [     236.31      881.04]
 [     237.73      881.04]
 [     240.56      883.88]
 [     241.98      883.88]
 [     244.82      886.72]
 [     246.24      886.72]
 [     247.66      888.14]
 [     253.33      888.14]
 [     254.75      889.56]
 [     295.89      889.56]
 [     297.31      888.14]
 [     302.99      888.14]
 [     304.41      886.72]
 [     308.66      886.72]
 [     310.08       885.3]
 [      311.5       885.3]
 [     312.92      883.88]
 [     314.34      883.88]
 [     315.76      882.46]
 [     317.18      882.46]
 [     318.59      881.04]
 [     324.27      881.04]
 [     324.27       862.6]
 [     320.01       862.6]
 [     317.18      859.76]
 [     317.18      858.34]
 [     315.76      856.93]
 [     315.76      855.51]
 [     314.34      854.09]
 [     314.34      852.67]
 [     307.24      845.58]
 [     305.83      845.58]
 [     301.57      841.32]
 [     300.15      841.32]
 [     293.06      834.23]
 [     293.06      832.81]
 [     287.38      827.13]
 [     287.38      825.71]
 [     285.96      824.29]
 [     285.96      820.04]]
