Image_Name: 4b2392215cb56b57a77835c59317b21f
Class: Eyebrow
Inner Main Points: [(229, 225)]
Mask Points:
[[      211.1      216.33]
 [      211.1      220.65]
 [     208.21      223.54]
 [     203.88      223.54]
 [     203.88      235.08]
 [     209.65      235.08]
 [      211.1      233.63]
 [     213.98      233.63]
 [     215.42      232.19]
 [     216.86      232.19]
 [     218.31      230.75]
 [     219.75      230.75]
 [     221.19      229.31]
 [     222.63      229.31]
 [     224.07      227.87]
 [     226.96      227.87]
 [      228.4      226.42]
 [     231.29      226.42]
 [     232.73      224.98]
 [     234.17      224.98]
 [     235.61      223.54]
 [      238.5      223.54]
 [     239.94       222.1]
 [     244.27       222.1]
 [     245.71      220.65]
 [     254.36      220.65]
 [     254.36      216.33]]
