Image_Name: 4b2392215cb56b57a77835c59317b21f
Class: Eyebrow
Inner Main Points: [(113, 238)]
Mask Points:
[[     82.741      227.87]
 [     82.741      233.63]
 [     100.05      233.63]
 [     101.49      235.08]
 [     107.26      235.08]
 [      108.7      236.52]
 [     110.14      236.52]
 [     111.58      237.96]
 [     113.03      237.96]
 [     114.47       239.4]
 [      118.8       239.4]
 [     120.24      240.85]
 [     124.56      240.85]
 [     126.01      242.29]
 [     127.45      242.29]
 [     130.33      245.17]
 [     130.33       249.5]
 [     144.75       249.5]
 [     144.75      243.73]
 [     138.99      243.73]
 [      136.1      240.85]
 [      136.1       239.4]
 [     133.22      236.52]
 [     131.77      236.52]
 [     127.45      232.19]
 [     127.45      227.87]]
