Image_Name: 4b2392215cb56b57a77835c59317b21f
Class: Hand
Inner Main Points: [(35.29755329589581, 660.521757187749), (43.11395968948905, 655.4837966489208), (39.93914949609949, 661.8735838670094), (41.87524635333868, 659.1767018691748), (39.348719866259586, 670.1517675844644)]
Mask Points:
[[     40.917      637.45]
 [     40.917      641.77]
 [     39.475      643.22]
 [     38.033      643.22]
 [     30.822      650.43]
 [      29.38      650.43]
 [     27.938      651.87]
 [     26.495      651.87]
 [     25.053      653.31]
 [     20.727      653.31]
 [     19.284      654.75]
 [     13.516      654.75]
 [     13.516      682.15]
 [     19.284      682.15]
 [     20.727      680.71]
 [     22.169      680.71]
 [     23.611      679.27]
 [     26.495      679.27]
 [     27.938      677.83]
 [     27.938      676.39]
 [      29.38      674.94]
 [     30.822      676.39]
 [     30.822      677.83]
 [     32.264      679.27]
 [     32.264      686.48]
 [     33.706      687.92]
 [     33.706      693.69]
 [     43.802      693.69]
 [     43.802      687.92]
 [     46.686      685.04]
 [     46.686       683.6]
 [     48.128      682.15]
 [     48.128      676.39]
 [      49.57      674.94]
 [      49.57      670.62]
 [     51.012      669.17]
 [     51.012      664.85]
 [     52.455      663.41]
 [     53.897      663.41]
 [     55.339      664.85]
 [     55.339      667.73]
 [     56.781      669.17]
 [     56.781      670.62]
 [     58.223      672.06]
 [     59.666      672.06]
 [     61.108       673.5]
 [      62.55       673.5]
 [     63.992      674.94]
 [     66.877      674.94]
 [     68.319       673.5]
 [      75.53       673.5]
 [      75.53      661.96]
 [     71.203      661.96]
 [     69.761      660.52]
 [     69.761      653.31]
 [     68.319      651.87]
 [     68.319      650.43]
 [     65.434      647.54]
 [     63.992      647.54]
 [      62.55       646.1]
 [     56.781       646.1]
 [     55.339      644.66]
 [      49.57      644.66]
 [     48.128      643.22]
 [     43.802      643.22]
 [     42.359      641.77]
 [     42.359      637.45]]
