Image_Name: 649f7a45df60fbc0820d2976a1eaa3c4
Class: Stock
Inner Main Points: [(213.11460097152218, 788.1805056457268), (190.07250356452477, 794.196103418063), (191.73490037182182, 794.6572182584132), (196.45275239853552, 797.1031145534084), (207.2525682210128, 797.8015597651281)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     182.52      802.09]
 [     185.27      804.83]
 [     186.64      804.83]
 [     190.76      808.95]
 [     192.13      808.95]
 [     194.88       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     215.48      813.08]
 [     216.85       811.7]
 [     220.97       811.7]
 [     222.35      810.33]
 [     223.72      810.33]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
