Image_Name: 65488d38704860c155c3f8080552c939
Class: Eyebrow
Inner Main Points: [(226, 225)]
Mask Points:
[[     212.54      216.33]
 [     212.54      220.65]
 [     208.21      224.98]
 [     206.77      224.98]
 [     202.44      229.31]
 [     198.12      229.31]
 [     198.12      235.08]
 [     209.65      235.08]
 [      211.1      233.63]
 [     212.54      233.63]
 [     213.98      232.19]
 [     215.42      232.19]
 [     216.86      230.75]
 [     219.75      230.75]
 [     221.19      229.31]
 [     224.07      229.31]
 [     225.52      227.87]
 [     226.96      227.87]
 [      228.4      226.42]
 [     229.84      226.42]
 [     231.29      224.98]
 [     234.17      224.98]
 [     235.61      223.54]
 [     242.82      223.54]
 [     244.27       222.1]
 [     254.36       222.1]
 [     254.36      216.33]]
