Image_Name: 65488d38704860c155c3f8080552c939
Class: Hand
Inner Main Points: [(324.5392042814551, 660.8586822976507), (336.98702848035566, 645.2047792600581), (319.07260972544714, 658.1739398543139), (317.8035385048988, 662.4443912581818), (336.8139628047507, 647.6413825385438)]
Mask Points:
[[      330.8      631.68]
 [      330.8         636]
 [     327.91      638.89]
 [     325.03      638.89]
 [     323.59      640.33]
 [     322.14      640.33]
 [      320.7      641.77]
 [     317.82      641.77]
 [     316.37      643.22]
 [     312.05      643.22]
 [     310.61      644.66]
 [     301.95      644.66]
 [     301.95       673.5]
 [     306.28       673.5]
 [     307.72      674.94]
 [     307.72      677.83]
 [     309.16      679.27]
 [     309.16       683.6]
 [     310.61      685.04]
 [     310.61      686.48]
 [     312.05      687.92]
 [     312.05      693.69]
 [     322.14      693.69]
 [     322.14      686.48]
 [     323.59      685.04]
 [     323.59       683.6]
 [     325.03      682.15]
 [     326.47       683.6]
 [      330.8       683.6]
 [     332.24      685.04]
 [     338.01      685.04]
 [     339.45       683.6]
 [     340.89       683.6]
 [     342.33      682.15]
 [     342.33       673.5]
 [     346.66      669.17]
 [      348.1      670.62]
 [     349.55      670.62]
 [     350.99      672.06]
 [      358.2      672.06]
 [     359.64      670.62]
 [     359.64      669.17]
 [     365.41      663.41]
 [     369.74      663.41]
 [     369.74      654.75]
 [     365.41      654.75]
 [     363.97      653.31]
 [     362.52      653.31]
 [     353.87      644.66]
 [     352.43      644.66]
 [     343.78         636]
 [     343.78      631.68]]
