Image_Name: 65488d38704860c155c3f8080552c939
Class: Neck
Inner Main Points: [(170.2853868519576, 399.4463688207008), (175.6906192548202, 399.794132210623), (174.4860761597219, 400.91852426742037), (173.03609505148407, 399.9709996130849), (173.015419255289, 399.4964959522576)]
Mask Points:
[[     157.73      389.39]
 [     157.73      416.79]
 [     166.39      416.79]
 [     166.39      411.02]
 [     167.83      409.58]
 [     169.27      409.58]
 [     170.71      411.02]
 [     172.16      411.02]
 [      173.6      412.47]
 [      173.6      416.79]
 [     180.81      416.79]
 [     180.81      411.02]
 [     183.69      408.14]
 [     183.69       406.7]
 [     185.14      405.25]
 [     186.58      405.25]
 [     188.02      403.81]
 [      190.9      403.81]
 [     192.35      402.37]
 [     196.67      402.37]
 [     198.12      400.93]
 [     203.88      400.93]
 [     205.33      399.49]
 [     208.21      399.49]
 [     209.65      398.04]
 [     213.98      398.04]
 [     213.98      389.39]]
