Image_Name: 779f13a5b7e9b7b4de2bb6e7ffafb0e6
Class: Stock
Inner Main Points: [(212.16490665138457, 788.3586492970908), (209.70209590296923, 794.8991356019311), (213.29767272835485, 788.6180527293466), (204.4788201863276, 797.9026984938581), (211.09715624000984, 787.62695054668)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     182.52      802.09]
 [     185.27      804.83]
 [     186.64      804.83]
 [     190.76      808.95]
 [     192.13      808.95]
 [     194.88       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     215.48      813.08]
 [     216.85       811.7]
 [     220.97       811.7]
 [     222.35      810.33]
 [     223.72      810.33]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
