Image_Name: 791d5f66463763e8864498e67184b51f
Class: Hair
Inner Main Points: [(337.60791687098595, 199.16005954127036), (219.06557070577003, 64.0380684480797), (128.35074297162828, 55.55770484535836), (90.12548182106872, 118.34514506574808), (60.24754042953303, 136.6755965629772)]
Mask Points:
[[     163.95      19.863]
 [     163.95      24.119]
 [     161.11      26.956]
 [     159.69      26.956]
 [     158.28      28.375]
 [     155.44      28.375]
 [     154.02      29.794]
 [     151.18      29.794]
 [     149.76      31.213]
 [     148.34      31.213]
 [     146.93      32.631]
 [     145.51      32.631]
 [     144.09       34.05]
 [     142.67       34.05]
 [     141.25      35.469]
 [     138.41      35.469]
 [     136.99      36.888]
 [     135.58      36.888]
 [     134.16      38.306]
 [     132.74      38.306]
 [     131.32      39.725]
 [      129.9      39.725]
 [     128.48      41.144]
 [     127.06      41.144]
 [     125.64      42.562]
 [     124.23      42.562]
 [     119.97      46.819]
 [     118.55      46.819]
 [     117.13      48.238]
 [     115.71      48.238]
 [     114.29      49.656]
 [     112.88      49.656]
 [     110.04      52.494]
 [     108.62      52.494]
 [     105.78      55.331]
 [     104.36      55.331]
 [     100.11      59.588]
 [     98.688      59.588]
 [     74.569      83.706]
 [     74.569      85.125]
 [     67.475      92.219]
 [     67.475      93.638]
 [     66.056      95.056]
 [     64.638      95.056]
 [     57.544      102.15]
 [     56.125      102.15]
 [     49.031      109.24]
 [     47.613      109.24]
 [     43.356       113.5]
 [     41.938       113.5]
 [     40.519      114.92]
 [       39.1      114.92]
 [     34.844      119.18]
 [     33.425      119.18]
 [     32.006      120.59]
 [     30.588      120.59]
 [     26.331      124.85]
 [     24.913      124.85]
 [     23.494      126.27]
 [     19.238      126.27]
 [     19.238      129.11]
 [     29.169      129.11]
 [     30.588      127.69]
 [     41.938      127.69]
 [     44.775      130.53]
 [     44.775      134.78]
 [     41.938      137.62]
 [     41.938      139.04]
 [     40.519      140.46]
 [     40.519      144.71]
 [       39.1      146.13]
 [       39.1      150.39]
 [     37.681      151.81]
 [     37.681      156.06]
 [     36.263      157.48]
 [     36.263      163.16]
 [     34.844      164.58]
 [     34.844      171.67]
 [     33.425      173.09]
 [     33.425      180.18]
 [     32.006       181.6]
 [     32.006      185.86]
 [     33.425      187.28]
 [     33.425      194.37]
 [     34.844      195.79]
 [     34.844      197.21]
 [     36.263      197.21]
 [     37.681      195.79]
 [     37.681      194.37]
 [     41.938      190.11]
 [     41.938      188.69]
 [     43.356      187.28]
 [     43.356      185.86]
 [     46.194      183.02]
 [     46.194       181.6]
 [     49.031      178.76]
 [     49.031      177.34]
 [      50.45      175.93]
 [      50.45      171.67]
 [     51.869      170.25]
 [     53.288      170.25]
 [     54.706      171.67]
 [     54.706      183.02]
 [     56.125      184.44]
 [     56.125      197.21]
 [     57.544      198.63]
 [     57.544      207.14]
 [     58.963      208.56]
 [     58.963      214.23]
 [     60.381      215.65]
 [     60.381      219.91]
 [       61.8      221.33]
 [       61.8      224.16]
 [     63.219      225.58]
 [     63.219      228.42]
 [     64.638      229.84]
 [     64.638      231.26]
 [     68.894      235.51]
 [     68.894      239.77]
 [     81.663      239.77]
 [     81.663      234.09]
 [     80.244      232.68]
 [     80.244      231.26]
 [     78.825      229.84]
 [     78.825      225.58]
 [     77.406      224.16]
 [     77.406      219.91]
 [     75.988      218.49]
 [     75.988       204.3]
 [     77.406      202.88]
 [     77.406      197.21]
 [     78.825      195.79]
 [     78.825      191.53]
 [     80.244      190.11]
 [     80.244      184.44]
 [     81.663      183.02]
 [     81.663      180.18]
 [     83.081      178.76]
 [     83.081      177.34]
 [       84.5      175.93]
 [       84.5      174.51]
 [     85.919      173.09]
 [     85.919      171.67]
 [     88.756      168.83]
 [     88.756      167.41]
 [     100.11      156.06]
 [     100.11      154.64]
 [     104.36      150.39]
 [     104.36      148.97]
 [     108.62      144.71]
 [     108.62      143.29]
 [     110.04      141.88]
 [     110.04      140.46]
 [     114.29       136.2]
 [     114.29      134.78]
 [     118.55      130.53]
 [     118.55      129.11]
 [     127.06      120.59]
 [     127.06      119.18]
 [     138.41      107.83]
 [     138.41      106.41]
 [     139.83      104.99]
 [     141.25      104.99]
 [     144.09      102.15]
 [     145.51      102.15]
 [     146.93      100.73]
 [     146.93      99.313]
 [     148.34      97.894]
 [     151.18      100.73]
 [     151.18      127.69]
 [      152.6      127.69]
 [     154.02      129.11]
 [     155.44      129.11]
 [     159.69      133.36]
 [     159.69       136.2]
 [     161.11      137.62]
 [     161.11      151.81]
 [     162.53      153.23]
 [     162.53      161.74]
 [     163.95      163.16]
 [     163.95      165.99]
 [     165.37      167.41]
 [     165.37      168.83]
 [     166.79      170.25]
 [     169.62      167.41]
 [     171.04      167.41]
 [     173.88      164.58]
 [     173.88      163.16]
 [      175.3      161.74]
 [     176.72      161.74]
 [     178.14      160.32]
 [     178.14       158.9]
 [     189.49      147.55]
 [     190.91      147.55]
 [     192.33      146.13]
 [     195.16      146.13]
 [     196.58      147.55]
 [     196.58      148.97]
 [        198      150.39]
 [        198      153.23]
 [     199.42      154.64]
 [     199.42      153.23]
 [     200.84      151.81]
 [     200.84      150.39]
 [     202.26      148.97]
 [     202.26      147.55]
 [     203.68      146.13]
 [     205.09      146.13]
 [     205.09      144.71]
 [     206.51      143.29]
 [     206.51      141.88]
 [     207.93      140.46]
 [     207.93      139.04]
 [     210.77       136.2]
 [     210.77      134.78]
 [     212.19      133.36]
 [     212.19      130.53]
 [     216.44      126.27]
 [     216.44      123.43]
 [     217.86      122.01]
 [     217.86      119.18]
 [      220.7      116.34]
 [      220.7      114.92]
 [     222.12       113.5]
 [     222.12      110.66]
 [     223.54      109.24]
 [     223.54      106.41]
 [     224.96      104.99]
 [     224.96      103.57]
 [     226.38      102.15]
 [     226.38      100.73]
 [     227.79      99.313]
