Image_Name: 791d5f66463763e8864498e67184b51f
Class: Shoe
Inner Main Points: [(107.70271759189342, 868.3105037886326), (157.20744086964913, 861.6530448131804), (109.10757636943049, 865.1111679082811), (143.68262593260567, 865.1725583555931), (130.64573475148083, 826.258277300098)]
Mask Points:
[[     122.81      814.36]
 [     122.81      818.62]
 [     119.97      821.46]
 [     119.97      822.88]
 [     111.46      831.39]
 [     110.04      831.39]
 [     97.269      844.16]
 [     97.269      845.58]
 [     91.594      851.25]
 [     87.338      851.25]
 [     87.338      881.04]
 [     94.431      881.04]
 [      95.85      882.46]
 [     100.11      882.46]
 [     101.53      883.88]
 [      107.2      883.88]
 [     108.62       885.3]
 [     121.39       885.3]
 [     122.81      883.88]
 [     132.74      883.88]
 [     134.16      882.46]
 [     144.09      882.46]
 [     145.51      881.04]
 [     154.02      881.04]
 [     155.44      879.63]
 [     161.11      879.63]
 [     162.53      878.21]
 [     169.62      878.21]
 [     171.04      876.79]
 [     180.98      876.79]
 [     182.39      875.37]
 [     183.81      875.37]
 [     185.23      873.95]
 [     186.65      873.95]
 [     189.49      871.11]
 [     189.49      868.28]
 [     190.91      866.86]
 [     190.91      861.18]
 [     192.33      859.76]
 [     192.33      855.51]
 [     193.74      854.09]
 [     193.74      846.99]
 [     195.16      845.58]
 [     199.42      845.58]
 [     199.42      829.97]
 [     195.16      829.97]
 [     193.74      828.55]
 [     193.74      825.71]
 [     190.91      822.88]
 [     190.91      821.46]
 [     189.49      820.04]
 [     189.49      821.46]
 [     188.07      822.88]
 [     188.07      824.29]
 [     186.65      825.71]
 [     186.65      827.13]
 [     179.56      834.23]
 [     178.14      834.23]
 [     176.72      835.64]
 [      175.3      835.64]
 [     173.88      837.06]
 [     169.62      837.06]
 [     168.21      838.48]
 [     166.79      838.48]
 [     165.37      837.06]
 [     163.95      837.06]
 [     161.11      834.23]
 [     161.11      832.81]
 [     159.69      831.39]
 [     159.69      828.55]
 [     158.28      827.13]
 [     158.28      825.71]
 [      152.6      820.04]
 [      152.6      814.36]]
