Image_Name: 7e3319787b1ea2067ccfaff27cba6a26
Class: Eyebrow
Inner Main Points: [(120, 238)]
Mask Points:
[[     97.162      227.87]
 [     97.162      232.19]
 [     98.605      232.19]
 [     100.05      233.63]
 [     102.93      233.63]
 [     104.37      235.08]
 [      108.7      235.08]
 [     110.14      236.52]
 [     113.03      236.52]
 [     114.47      237.96]
 [     115.91      237.96]
 [     117.35       239.4]
 [     121.68       239.4]
 [     123.12      240.85]
 [     126.01      240.85]
 [     127.45      242.29]
 [     130.33      242.29]
 [     133.22      245.17]
 [     133.22       249.5]
 [     144.75       249.5]
 [     144.75      242.29]
 [     140.43      242.29]
 [     137.54       239.4]
 [     137.54      237.96]
 [      136.1      237.96]
 [     130.33      232.19]
 [     130.33      227.87]]
