Image_Name: 7e3319787b1ea2067ccfaff27cba6a26
Class: Face
Inner Main Points: [(114.87351741400464, 274.90455948989177), (97.10957265735908, 285.0414132558333), (117.99284362008208, 365.38543127487856), (120.2454429896772, 302.19792349083207), (233.74259335512036, 341.53026502829766)]
Mask Points:
[[     216.86      175.95]
 [     216.86      183.16]
 [     215.42       184.6]
 [     215.42      187.48]
 [     213.98      188.93]
 [     213.98      191.81]
 [     212.54      193.25]
 [     212.54       194.7]
 [      211.1      196.14]
 [      211.1      197.58]
 [     209.65      199.02]
 [     209.65      200.46]
 [     208.21      201.91]
 [     208.21      203.35]
 [     206.77      204.79]
 [     206.77      206.23]
 [     205.33      207.67]
 [     205.33      210.56]
 [     203.88         212]
 [     203.88      220.65]
 [     202.44       222.1]
 [     202.44      224.98]
 [        201      226.42]
 [        201      227.87]
 [     199.56      229.31]
 [     196.67      229.31]
 [     189.46      236.52]
 [     189.46      237.96]
 [     186.58      240.85]
 [     186.58      242.29]
 [     185.14      243.73]
 [     185.14      245.17]
 [     183.69      246.61]
 [     183.69      248.06]
 [     182.25       249.5]
 [     182.25      250.94]
 [     179.37      253.82]
 [     176.48      250.94]
 [     175.04      250.94]
 [      173.6       249.5]
 [      173.6      248.06]
 [     162.06      236.52]
 [     162.06      235.08]
 [     157.73      230.75]
 [     157.73      229.31]
 [     154.85      226.42]
 [     154.85      224.98]
 [     147.64      217.77]
 [     147.64      216.33]
 [      146.2      214.89]
 [      146.2      213.44]
 [     144.75         212]
 [     144.75      209.12]
 [     143.31      207.67]
 [     143.31      206.23]
 [     140.43      203.35]
 [     140.43      201.91]
 [     137.54      199.02]
 [     137.54      197.58]
 [     131.77      191.81]
 [     131.77      188.93]
 [     128.89      186.04]
 [     128.89       184.6]
 [     128.89      186.04]
 [     127.45      187.48]
 [     127.45      188.93]
 [     126.01      190.37]
 [     126.01      191.81]
 [     124.56      193.25]
 [     124.56       194.7]
 [     123.12      196.14]
 [     123.12      197.58]
 [     121.68      199.02]
 [     121.68      201.91]
 [     120.24      203.35]
 [     120.24      204.79]
 [      118.8      206.23]
 [      118.8      207.67]
 [     117.35      209.12]
 [     117.35      210.56]
 [     115.91         212]
 [     115.91      214.89]
 [     114.47      216.33]
 [     114.47      220.65]
 [     113.03       222.1]
