Image_Name: 7e3319787b1ea2067ccfaff27cba6a26
Class: Hand
Inner Main Points: [(312.30222020607795, 663.4525342051951), (313.82672694269195, 657.0077949220157), (331.78885352931735, 649.7268721482974), (351.12571140074374, 658.9624860729552), (322.9886765067615, 656.5836127600675)]
Mask Points:
[[      330.8      631.68]
 [      330.8         636]
 [     327.91      638.89]
 [     325.03      638.89]
 [     323.59      640.33]
 [     322.14      640.33]
 [      320.7      641.77]
 [     317.82      641.77]
 [     316.37      643.22]
 [     312.05      643.22]
 [     310.61      644.66]
 [     301.95      644.66]
 [     301.95       673.5]
 [     306.28       673.5]
 [     307.72      674.94]
 [     307.72      677.83]
 [     309.16      679.27]
 [     309.16       683.6]
 [     310.61      685.04]
 [     310.61      686.48]
 [     312.05      687.92]
 [     312.05      693.69]
 [     322.14      693.69]
 [     322.14      686.48]
 [     323.59      685.04]
 [     323.59       683.6]
 [     325.03      682.15]
 [     326.47       683.6]
 [      330.8       683.6]
 [     332.24      685.04]
 [     338.01      685.04]
 [     339.45       683.6]
 [     340.89       683.6]
 [     342.33      682.15]
 [     342.33       673.5]
 [     346.66      669.17]
 [      348.1      670.62]
 [     349.55      670.62]
 [     350.99      672.06]
 [      358.2      672.06]
 [     359.64      670.62]
 [     359.64      669.17]
 [     365.41      663.41]
 [     369.74      663.41]
 [     369.74      654.75]
 [     365.41      654.75]
 [     363.97      653.31]
 [     362.52      653.31]
 [     353.87      644.66]
 [     352.43      644.66]
 [     343.78         636]
 [     343.78      631.68]]
