Image_Name: 7e3319787b1ea2067ccfaff27cba6a26
Class: Neck
Inner Main Points: [(173.22233689106778, 400.3067736925312), (174.68750581915313, 400.714706509842), (175.11275663603524, 401.17779641015096), (175.07842248428705, 399.8022466730236), (176.50505902194115, 399.51046676787934)]
Mask Points:
[[     157.73      389.39]
 [     157.73      416.79]
 [     166.39      416.79]
 [     166.39      411.02]
 [     167.83      409.58]
 [     169.27      409.58]
 [     170.71      411.02]
 [     172.16      411.02]
 [      173.6      412.47]
 [      173.6      416.79]
 [     180.81      416.79]
 [     180.81      411.02]
 [     183.69      408.14]
 [     183.69       406.7]
 [     185.14      405.25]
 [     186.58      405.25]
 [     188.02      403.81]
 [      190.9      403.81]
 [     192.35      402.37]
 [     196.67      402.37]
 [     198.12      400.93]
 [     203.88      400.93]
 [     205.33      399.49]
 [     208.21      399.49]
 [     209.65      398.04]
 [     213.98      398.04]
 [     213.98      389.39]]
