Image_Name: 9a47c5c709066138185204a89ee50f0b
Class: Stock
Inner Main Points: [(209.36772645230673, 800.5525884943064), (211.64882365478843, 794.3744441990802), (198.58837320336002, 797.9392625522472), (211.06020551464508, 789.2715940288812), (195.15001420601558, 796.7564966370724)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     182.52      802.09]
 [     185.27      804.83]
 [     186.64      804.83]
 [     190.76      808.95]
 [     192.13      808.95]
 [     194.88       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     215.48      813.08]
 [     216.85       811.7]
 [     220.97       811.7]
 [     222.35      810.33]
 [     223.72      810.33]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
