Image_Name: adaaff49bada59e7230a65135f356fc4
Class: Stock
Inner Main Points: [(198.04396145733287, 800.0502259696011), (212.12881850665843, 799.4782599281907), (207.2452280715428, 792.8046946713155), (192.72863957815278, 795.7112271076876), (201.1437447089335, 793.0459836733027)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     182.52      802.09]
 [     185.27      804.83]
 [     186.64      804.83]
 [     190.76      808.95]
 [     192.13      808.95]
 [     194.88       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     215.48      813.08]
 [     216.85       811.7]
 [     220.97       811.7]
 [     222.35      810.33]
 [     223.72      810.33]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
