Image_Name: b11202483d09639f88f215192339c32f
Class: Neck
Inner Main Points: [(215.54046855907967, 304.6302117690964), (216.18029666123215, 317.34805552547596), (205.82198077440273, 317.480583685713), (202.30501070879694, 316.34404806488055), (210.26564492734326, 308.54769457324454)]
Mask Points:
[[     211.36      288.42]
 [     211.36      292.54]
 [     207.24      296.66]
 [     205.87      296.66]
 [     201.75      300.78]
 [     200.37      300.78]
 [        199      302.16]
 [     197.63      302.16]
 [     194.88       304.9]
 [     193.51       304.9]
 [     192.13      306.28]
 [     190.76      306.28]
 [     189.39      307.65]
 [     188.01      307.65]
 [     186.64      309.02]
 [     185.27      309.02]
 [     183.89       310.4]
 [     182.52       310.4]
 [     181.15      311.77]
 [     179.77      311.77]
 [      178.4      313.14]
 [     175.65      313.14]
 [     174.28      314.52]
 [     170.16      314.52]
 [     168.78      315.89]
 [     167.41      315.89]
 [     166.04      317.26]
 [     164.66      317.26]
 [     163.29      318.64]
 [     160.54      318.64]
 [     159.17      320.01]
 [      152.3      320.01]
 [      152.3      322.76]
 [     167.41      322.76]
 [     168.78      324.13]
 [     171.53      324.13]
 [     175.65      328.25]
 [     177.02      328.25]
 [      178.4      329.62]
 [     223.72      329.62]
 [     226.47      326.88]
 [     226.47      313.14]
 [     227.84      311.77]
 [     227.84      306.28]
 [     226.47       304.9]
 [     226.47      303.53]
 [     227.84      302.16]
 [     227.84      298.04]
 [     229.22      296.66]
 [     233.34      296.66]
 [     233.34      288.42]]
