Image_Name: b11202483d09639f88f215192339c32f
Class: Stock
Inner Main Points: [(203.66311071752415, 791.6452411196229), (195.41591074665436, 793.3804031950357), (196.04963633966858, 794.7648245830445), (209.0808225129581, 793.0771411737569), (194.9501214724297, 791.623798254135)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     182.52      802.09]
 [     185.27      804.83]
 [     186.64      804.83]
 [     190.76      808.95]
 [     192.13      808.95]
 [     194.88       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     215.48      813.08]
 [     216.85       811.7]
 [     220.97       811.7]
 [     222.35      810.33]
 [     223.72      810.33]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
