Image_Name: bc05606262c32d47185ca9c6f9c419f5
Class: Shoe
Inner Main Points: [(239.48197618713897, 858.5049423591661), (240.0197329655548, 870.755112719994), (218.30801408699557, 852.4316592167537), (253.87158006754882, 864.8796785540368), (259.4267238465871, 865.9240254023705)]
Mask Points:
[[     258.76      827.72]
 [     258.76      840.44]
 [     254.52      844.67]
 [     250.29      844.67]
 [     248.88      843.26]
 [     246.05      843.26]
 [     244.64      841.85]
 [     243.22      841.85]
 [     241.81      840.44]
 [     238.99      840.44]
 [     237.57      839.03]
 [     222.04      839.03]
 [     220.62      840.44]
 [     216.39      840.44]
 [     214.97      841.85]
 [     203.68      841.85]
 [     203.68      894.11]
 [     254.52      894.11]
 [     254.52      889.88]
 [     257.35      887.05]
 [     260.17      887.05]
 [     261.59      885.64]
 [        263      885.64]
 [     264.41      884.22]
 [     265.82      884.22]
 [     271.48      878.58]
 [     275.71      878.58]
 [     275.71      840.44]
 [     271.48      840.44]
 [     268.65      837.61]
 [     268.65       836.2]
 [     267.24      834.79]
 [     267.24      833.38]
 [     265.82      831.96]
 [     265.82      827.72]]
