Image_Name: bc05606262c32d47185ca9c6f9c419f5
Class: Stock
Inner Main Points: [(144.37560418501099, 818.7124008253618), (126.30477308870799, 814.0737611037637), (145.54526539161182, 812.1180603705035), (133.82769766298705, 817.3556447121186), (121.16069375441879, 811.1446454049467)]
Mask Points:
[[     107.62      799.47]
 [     107.62      840.44]
 [     113.27      840.44]
 [     114.69      839.03]
 [      116.1      839.03]
 [     117.51      837.61]
 [     118.92      837.61]
 [     120.34       836.2]
 [     121.75       836.2]
 [     123.16      834.79]
 [     124.57      834.79]
 [     125.99      833.38]
 [     131.64      833.38]
 [     133.05      831.96]
 [     137.29      831.96]
 [      138.7      833.38]
 [     142.94      833.38]
 [     144.35      834.79]
 [     145.76      834.79]
 [     147.18       836.2]
 [     148.59       836.2]
 [        150      837.61]
 [     152.82      837.61]
 [     155.65      834.79]
 [     155.65      830.55]
 [     157.06      829.14]
 [     157.06      822.08]
 [     158.47      820.66]
 [     162.71      820.66]
 [     162.71      799.47]]
