Image_Name: cbabac361a41867bc88ae6f694a8d00f
Class: Shoe
Inner Main Points: [(181.78763882737036, 819.3359696401858), (115.71345760782101, 837.8301494472443), (155.50558579565492, 839.8331227492279), (176.68708941263228, 816.3649672955628), (202.72232843297883, 826.3673052711293)]
Mask Points:
[[     150.93      793.85]
 [     150.93      797.97]
 [     148.18      800.71]
 [     146.81      800.71]
 [     144.06      803.46]
 [     142.69      803.46]
 [     138.57      807.58]
 [      137.2      807.58]
 [     135.82      808.95]
 [     134.45      808.95]
 [     133.07      810.33]
 [      131.7      810.33]
 [     128.95      813.08]
 [     127.58      813.08]
 [     126.21      814.45]
 [     124.83      814.45]
 [     120.71      818.57]
 [     119.34      818.57]
 [     105.61       832.3]
 [     105.61      833.68]
 [     102.86      836.42]
 [     97.366      836.42]
 [     97.366      861.15]
 [     104.23      861.15]
 [     105.61      862.52]
 [     108.35      862.52]
 [     109.73      863.89]
 [     112.47      863.89]
 [     113.85      865.27]
 [     126.21      865.27]
 [     127.58      866.64]
 [     145.44      866.64]
 [     146.81      868.01]
 [     186.64      868.01]
 [     188.01      866.64]
 [     211.36      866.64]
 [     212.73      865.27]
 [     233.34      865.27]
 [     234.71      863.89]
 [     236.08      863.89]
 [     238.83      861.15]
 [     244.32      861.15]
 [     244.32      822.69]
 [      240.2      822.69]
 [     238.83      821.32]
 [     238.83      810.33]
 [     237.46      808.95]
 [     237.46      806.21]
 [     236.08      804.83]
 [     236.08      803.46]
 [     234.71      802.09]
 [     230.59      802.09]
 [     229.22      803.46]
 [     229.22      806.21]
 [     227.84      807.58]
 [     227.84      808.95]
 [      225.1       811.7]
 [     223.72       811.7]
 [     222.35      813.08]
 [      219.6      813.08]
 [     218.23      814.45]
 [     196.25      814.45]
 [     194.88      813.08]
 [     193.51      813.08]
 [     188.01      807.58]
 [     186.64      807.58]
 [     182.52      803.46]
 [     179.77      803.46]
 [      178.4      802.09]
 [     177.02      802.09]
 [      172.9      797.97]
 [      172.9      793.85]]
