Image_Name: cbabac361a41867bc88ae6f694a8d00f
Class: Stock
Inner Main Points: [(192.98962020000764, 791.7444745591896), (216.25380541598076, 793.3912630174977), (213.8592896879426, 801.312382551066), (212.66503759449446, 793.450059121016), (209.696626650447, 795.2831363592659)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     182.52      802.09]
 [     185.27      804.83]
 [     186.64      804.83]
 [     190.76      808.95]
 [     192.13      808.95]
 [     194.88       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     215.48      813.08]
 [     216.85       811.7]
 [     220.97       811.7]
 [     222.35      810.33]
 [     223.72      810.33]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
