Image_Name: e709a2c1c06d45a2a3efefefe418735e
Class: Neck
Inner Main Points: [(205.6907522879796, 318.2291592618858), (192.69053843524642, 318.82687986036655), (211.28528550299524, 308.6729125125398), (212.87316075822605, 319.1428505099194), (216.47832301621298, 308.3478043374023)]
Mask Points:
[[     211.36      288.42]
 [     211.36      292.54]
 [     207.24      296.66]
 [     205.87      296.66]
 [     203.12      299.41]
 [     201.75      299.41]
 [     200.37      300.78]
 [        199      300.78]
 [     196.25      303.53]
 [     194.88      303.53]
 [     193.51       304.9]
 [     192.13       304.9]
 [     190.76      306.28]
 [     189.39      306.28]
 [     188.01      307.65]
 [     186.64      307.65]
 [     185.27      309.02]
 [     182.52      309.02]
 [     181.15       310.4]
 [     179.77       310.4]
 [      178.4      311.77]
 [     177.02      311.77]
 [     175.65      313.14]
 [      172.9      313.14]
 [     171.53      314.52]
 [     168.78      314.52]
 [     167.41      315.89]
 [     166.04      315.89]
 [     164.66      317.26]
 [     163.29      317.26]
 [     161.92      318.64]
 [     160.54      318.64]
 [     159.17      320.01]
 [      152.3      320.01]
 [      152.3      322.76]
 [     167.41      322.76]
 [     168.78      324.13]
 [     171.53      324.13]
 [     174.28      326.88]
 [     174.28      329.62]
 [     177.02      332.37]
 [     177.02      336.49]
 [     181.15      336.49]
 [     181.15      332.37]
 [     182.52         331]
 [     190.76         331]
 [     192.13      329.62]
 [     211.36      329.62]
 [     212.73         331]
 [     222.35         331]
 [     226.47      326.88]
 [     226.47      315.89]
 [     227.84      314.52]
 [     227.84      311.77]
 [     229.22       310.4]
 [     233.34       310.4]
 [     233.34      306.28]
 [     229.22      306.28]
 [     227.84       304.9]
 [     229.22      303.53]
 [     233.34      303.53]
 [     233.34      288.42]]
