Image_Name: e709a2c1c06d45a2a3efefefe418735e
Class: Shoe
Inner Main Points: [(207.43644007103103, 840.3790523326848), (166.75649228046782, 805.2248557442871), (209.37814612560766, 835.4182409604069), (117.1380320146717, 852.4234576857137), (205.4743683464584, 827.1727903830053)]
Mask Points:
[[     148.18      793.85]
 [     148.18      797.97]
 [     142.69      803.46]
 [     141.32      803.46]
 [      137.2      807.58]
 [     135.82      807.58]
 [     134.45      808.95]
 [     133.07      808.95]
 [     130.33       811.7]
 [     128.95       811.7]
 [     126.21      814.45]
 [     124.83      814.45]
 [     119.34      819.94]
 [     117.97      819.94]
 [      111.1      826.81]
 [      111.1      828.18]
 [     104.23      835.05]
 [     104.23      836.42]
 [     102.86       837.8]
 [     97.366       837.8]
 [     97.366      861.15]
 [     104.23      861.15]
 [     105.61      862.52]
 [     108.35      862.52]
 [      111.1      865.27]
 [      111.1      869.39]
 [     233.34      869.39]
 [     233.34      865.27]
 [     234.71      863.89]
 [     236.08      863.89]
 [     238.83      861.15]
 [     244.32      861.15]
 [     244.32       811.7]
 [      240.2       811.7]
 [     238.83      810.33]
 [     238.83      808.95]
 [     237.46      807.58]
 [     237.46      804.83]
 [     234.71      802.09]
 [     229.22      802.09]
 [     229.22      804.83]
 [     227.84      806.21]
 [     227.84      807.58]
 [     223.72       811.7]
 [     222.35       811.7]
 [     220.97      813.08]
 [     197.63      813.08]
 [     196.25       811.7]
 [     194.88       811.7]
 [     192.13      808.95]
 [     190.76      808.95]
 [     188.01      806.21]
 [     186.64      806.21]
 [     183.89      803.46]
 [     182.52      803.46]
 [     181.15      802.09]
 [     179.77      802.09]
 [      178.4      800.71]
 [     177.02      800.71]
 [     174.28      797.97]
 [     174.28      793.85]]
