Image_Name: eeb2b80f8842306952602f873f100579
Class: Stock
Inner Main Points: [(129.42593659021946, 809.7133977648181), (129.79405197403335, 822.1655011715058), (140.80771515706115, 813.5697844451606), (127.22095292908537, 811.4204336217915), (137.16047738970886, 818.3246709201463)]
Mask Points:
[[     107.62      799.47]
 [     107.62      840.44]
 [     113.27      840.44]
 [     117.51       836.2]
 [     118.92       836.2]
 [     120.34      834.79]
 [     123.16      834.79]
 [     124.57      833.38]
 [     131.64      833.38]
 [     133.05      831.96]
 [     137.29      831.96]
 [      138.7      833.38]
 [     142.94      833.38]
 [     144.35      834.79]
 [     145.76      834.79]
 [     147.18       836.2]
 [        150       836.2]
 [     151.41      837.61]
 [     152.82      837.61]
 [     152.82       836.2]
 [     154.24      834.79]
 [     154.24      831.96]
 [     155.65      830.55]
 [     155.65      823.49]
 [     157.06      822.08]
 [     157.06      817.84]
 [     158.47      816.42]
 [     162.71      816.42]
 [     162.71      799.47]]
