Image_Name: a15f2582d870481683fd47b80199f70f
Class: Upper_clothes
Inner Main Points: [(911.7975395181452, 538.4684311876405), (988.0930725163116, 574.0361289946768), (1042.9802025355837, 614.979126266176), (1069.1781027499267, 564.6532801741835), (1073.6493194502566, 556.8306556147323)]
Mask Points:
[[        894         522]
 [        894         534]
 [        891         537]
 [        888         537]
 [        885         540]
 [        882         540]
 [        879         543]
 [        873         543]
 [        870         546]
 [        864         546]
 [        855         537]
 [        846         537]
 [        846         546]
 [        855         546]
 [        861         552]
 [        861         567]
 [        864         570]
 [        870         570]
 [        876         564]
 [        879         564]
 [        882         561]
 [        906         561]
 [        909         564]
 [        912         564]
 [        918         570]
 [        921         570]
 [        927         576]
 [        927         579]
 [        933         585]
 [        933         588]
 [        936         591]
 [        936         594]
 [        945         603]
 [        945         606]
 [        951         612]
 [        954         612]
 [        960         618]
 [        963         618]
 [        966         621]
 [        972         621]
 [        975         624]
 [        990         624]
 [        993         627]
 [       1011         627]
 [       1014         630]
 [       1047         630]
 [       1050         633]
 [       1077         633]
 [       1086         624]
 [       1089         624]
 [       1089         621]
 [       1092         618]
 [       1092         615]
 [       1101         606]
 [       1101         600]
 [       1104         597]
 [       1104         588]
 [       1107         585]
 [       1107         582]
 [       1110         579]
 [       1119         579]
 [       1119         546]
 [       1110         546]
 [       1098         534]
 [       1098         522]]
