Image_Name: _a_10,100 copy
Class: Shoe
Inner Main Points: [(1755.5823970198937, 1015.9671797111213), (1741.2980569458541, 1003.1727107118802), (1791.4353360160246, 978.001924553777), (1773.3733582071613, 985.0915689026842), (1722.8749757336154, 975.7926374892683)]
Mask Points:
[[       1710         930]
 [       1710        1026]
 [       1719        1026]
 [       1728        1035]
 [       1728        1038]
 [       1731        1041]
 [       1734        1041]
 [       1737        1044]
 [       1740        1044]
 [       1746        1050]
 [       1746        1059]
 [       1758        1059]
 [       1758        1050]
 [       1761        1047]
 [       1764        1047]
 [       1767        1044]
 [       1770        1044]
 [       1779        1035]
 [       1782        1035]
 [       1791        1026]
 [       1794        1026]
 [       1812        1008]
 [       1812        1005]
 [       1815        1002]
 [       1827        1002]
 [       1827         969]
 [       1818         969]
 [       1788         939]
 [       1788         930]]
