Image_Name: _a_15,100 copy
Class: Neck
Inner Main Points: [(954.7823032912728, 344.1249974532659), (968.6279800342637, 340.9797003134288), (953.2533352546484, 352.8795273868884), (953.8479083950741, 340.1021378795029), (929.7739292030464, 350.4257767350828)]
Mask Points:
[[        942         318]
 [        942         330]
 [        939         333]
 [        936         333]
 [        930         339]
 [        918         339]
 [        918         366]
 [        927         366]
 [        936         375]
 [        936         387]
 [        945         387]
 [        945         375]
 [        954         366]
 [        957         366]
 [        960         363]
 [        963         363]
 [        966         360]
 [        969         360]
 [        972         357]
 [        975         357]
 [        984         348]
 [        984         339]
 [        987         336]
 [        987         333]
 [        990         330]
 [        999         330]
 [        999         318]]
