Image_Name: _a_8,100 copy
Class: Hair
Inner Main Points: [(1051.579904860192, 188.69282778538536), (1012.4210039959194, 131.98842110866659), (1053.1807738243035, 198.89962378410658), (1036.460715644469, 140.37588597269297), (819.3358405693685, 143.7044905320113)]
Mask Points:
[[        936          30]
 [        936          45]
 [        933          48]
 [        933          51]
 [        930          54]
 [        912          54]
 [        909          57]
 [        906          57]
 [        903          60]
 [        900          60]
 [        897          63]
 [        894          63]
 [        891          66]
 [        888          66]
 [        885          69]
 [        882          69]
 [        879          72]
 [        876          72]
 [        873          75]
 [        870          75]
 [        867          78]
 [        864          78]
 [        861          81]
 [        858          81]
 [        855          84]
 [        852          84]
 [        849          87]
 [        840          87]
 [        837          90]
 [        828          90]
 [        825          93]
 [        822          93]
 [        816          99]
 [        816         102]
 [        819         105]
 [        819         108]
 [        822         111]
 [        822         120]
 [        819         123]
 [        819         126]
 [        810         135]
 [        810         138]
 [        798         150]
 [        786         150]
 [        786         165]
 [        798         165]
 [        804         171]
 [        804         186]
 [        798         192]
 [        786         192]
 [        786         210]
 [        795         210]
 [        798         213]
 [        804         213]
 [        813         222]
 [        810         225]
 [        810         231]
 [        807         234]
 [        807         243]
 [        810         246]
 [        819         246]
 [        822         249]
 [        834         249]
 [        834         243]
 [        837         240]
 [        837         231]
 [        834         228]
 [        834         213]
 [        837         210]
 [        837         201]
 [        840         198]
 [        840         195]
 [        855         180]
 [        855         174]
 [        858         171]
 [        858         165]
 [        861         162]
 [        861         156]
 [        864         153]
 [        864         150]
 [        867         147]
 [        867         144]
 [        870         141]
 [        870         138]
 [        873         135]
 [        873         132]
 [        882         123]
 [        885         123]
 [        891         117]
 [        894         117]
 [        900         111]
 [        903         111]
 [        906         108]
 [        912         108]
 [        915         105]
 [        918         105]
 [        921         108]
 [        924         108]
 [        936         120]
 [        936         123]
 [        951         138]
 [        951         141]
 [        957         141]
 [        960         138]
 [        960         123]
 [        963         120]
 [        966         120]
 [        969         123]
 [        975         123]
 [        978         126]
 [        981         126]
 [        987         132]
 [        990         132]
 [       1005         147]
 [       1005         153]
 [       1008         156]
 [       1008         171]
 [       1011         174]
 [       1011         180]
 [       1020         180]
 [       1023         177]
 [       1032         186]
 [       1032         189]
 [       1035         192]
 [       1035         195]
 [       1038         198]
 [       1038         207]
 [       1041         210]
 [       1041         234]
 [       1044         237]
 [       1044         240]
 [       1047         243]
 [       1050         243]
 [       1053         240]
 [       1071         240]
 [       1083         228]
 [       1086         228]
 [       1089         225]
 [       1092         225]
 [       1095         222]
 [       1095         213]
 [       1092         210]
 [       1095         207]
 [       1095         204]
 [       1098         201]
 [       1098         192]
 [       1086         180]
 [       1086         177]
 [       1083         174]
 [       1083         168]
 [       1080         165]
 [       1080         156]
 [       1077         153]
 [       1077         150]
 [       1074         147]
 [       1074         144]
 [       1071         141]
 [       1071         135]
 [       1068         132]
 [       1068         123]
 [       1071         120]
 [       1074         120]
 [       1080         114]
 [       1083         114]
 [       1077         108]
 [       1074         108]
 [       1071         105]
 [       1068         105]
 [       1065         102]
 [       1062         102]
 [       1059          99]
 [       1056          99]
 [       1050          93]
 [       1047          93]
 [       1038          84]
 [       1035          84]
 [       1008          57]
 [       1005          57]
 [       1002          54]
 [        963          54]
 [        957          48]
 [        957          45]
 [        954          42]
 [        954          30]]
