Image_Name: c904f9fa5f90697aaa2c3260a51037ac
Class: Neck
Inner Main Points: [(265.51956784667175, 481.8632918252851), (293.90890402060677, 480.5976816234065), (280.88686623386513, 517.5617087732275), (288.73185613273625, 502.70998259482013), (307.72994716624993, 473.550583201726)]
Mask Points:
[[     251.75      460.75]
 [     251.75      510.62]
 [     258.88      510.62]
 [     261.25         513]
 [     263.62         513]
 [        266      515.38]
 [     268.38      515.38]
 [     270.75      517.75]
 [        266       522.5]
 [        266      524.88]
 [     263.62      527.25]
 [     263.62      534.38]
 [     289.75      534.38]
 [     289.75       522.5]
 [     292.12      520.12]
 [     292.12      517.75]
 [      294.5      515.38]
 [     299.25      515.38]
 [     301.62         513]
 [     306.38         513]
 [     308.75      510.62]
 [     311.12      510.62]
 [     315.88      505.88]
 [     318.25      505.88]
 [     318.25       503.5]
 [     320.62      501.12]
 [     320.62      460.75]]
