                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8805,                  3.666,                 2.1733,                0.95535,                    0.6,                0.62091,                0.39422,                0.86124,                 2.9338,                 1.1804,                      0,                      0,                      0
                      2,                 2.2935,                 3.1414,                  2.447,                0.89846,                    0.6,                 0.6299,                0.35955,                0.85541,                 2.8719,                 1.1719,             1.6587e-05,             1.6587e-05,             1.6587e-05
                      3,                 1.7612,                 3.5836,                 1.9766,                0.91068,                    0.6,                 0.6374,                0.37389,                0.83779,                 2.8196,                 1.1557,              3.301e-05,              3.301e-05,              3.301e-05
                      4,                 1.8206,                 3.0302,                 1.8872,                  0.923,                    0.6,                0.64799,                0.37445,                0.82684,                 2.7096,                 1.1492,             4.9267e-05,             4.9267e-05,             4.9267e-05
                      5,                 1.7375,                 2.8237,                 1.9967,                0.91024,                    0.6,                   0.66,                0.35829,                0.81145,                 2.6539,                 1.1409,              6.536e-05,              6.536e-05,              6.536e-05
                      6,                 1.9624,                 3.2216,                 2.0029,                0.91961,                    0.6,                0.67846,                0.33811,                0.79902,                 2.6178,                 1.1333,             8.1287e-05,             8.1287e-05,             8.1287e-05
                      7,                 1.9928,                 2.9013,                 2.2346,                0.93458,                    0.6,                0.69273,                0.36311,                0.78125,                 2.5877,                 1.1258,             9.7049e-05,             9.7049e-05,             9.7049e-05
                      8,                 2.1252,                 3.9448,                 2.4767,                0.94562,                    0.6,                0.71773,                0.33731,                0.79464,                 2.5344,                 1.1359,             0.00011265,             0.00011265,             0.00011265
                      9,                 2.0421,                  2.674,                 2.1288,                0.98517,                      1,                  0.995,                0.82144,                0.57031,                 2.7863,                0.99463,             0.00012808,             0.00012808,             0.00012808
                     10,                 1.0608,                 2.5895,                 1.3928,                0.81543,                      1,                0.96167,                 0.8537,                0.50477,                 2.5076,                0.96664,             0.00014335,             0.00014335,             0.00014335
                     11,                0.90429,                 1.2371,                 1.2509,                 0.9946,                      1,                  0.995,                0.96705,                 0.4157,                 1.7012,                0.91182,             0.00015845,             0.00015845,             0.00015845
                     12,                0.86703,                 1.1397,                 1.2927,                0.98764,                      1,                  0.995,                0.94707,                0.43653,                 1.3761,                0.88912,             0.00017339,             0.00017339,             0.00017339
                     13,                0.91461,                 1.2595,                 1.4338,                0.98123,                      1,                  0.995,                0.91137,                0.45121,                   1.54,                0.90809,             0.00018816,             0.00018816,             0.00018816
                     14,                 1.1021,                 1.1528,                 1.2674,                      1,                0.98295,                  0.995,                0.93127,                0.44013,                  1.609,                0.91928,             0.00020276,             0.00020276,             0.00020276
                     15,                0.94825,                 1.0921,                 1.3726,                 0.9909,                      1,                  0.995,                0.93908,                0.42877,                 1.1025,                0.86212,             0.00021721,             0.00021721,             0.00021721
