                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6245,                 2.6297,                 1.6581,                0.00556,                      1,                  0.241,                0.13262,                  1.001,                 3.0015,                 1.2399,                      0,                      0,                      0
                      2,                 1.7587,                 2.6017,                  1.783,                0.00556,                      1,                0.21644,                0.12612,                 1.0052,                 2.9865,                 1.2349,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.7943,                 2.6258,                 1.8461,                0.00556,                      1,                0.20901,                0.12202,                 1.0013,                 2.9841,                 1.2346,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.5508,                 2.5753,                 1.6205,                0.00556,                      1,                0.23268,                0.14074,                0.99811,                 2.9897,                  1.227,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.8818,                 2.7694,                 2.0473,                0.00556,                      1,                0.24304,                0.14395,                0.99935,                 2.9829,                 1.2164,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.7202,                 2.6603,                 1.8305,                0.00556,                      1,                0.23283,                0.13072,                0.98931,                 2.9822,                 1.2076,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.4324,                   2.52,                 1.6309,                0.00556,                      1,                0.29064,                0.18198,                0.85264,                 2.9571,                 1.1449,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.2331,                 2.3401,                  1.479,                0.00556,                      1,                0.39858,                0.27647,                0.67745,                 2.8555,                 1.0323,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.0816,                 2.3687,                 1.5342,                0.00556,                      1,                0.76059,                0.58794,                0.63764,                 2.8878,                0.98475,             0.00014733,             0.00014733,             0.00014733
                     10,                0.75077,                 2.1377,                 1.3006,                0.00556,                      1,                0.83346,                0.51106,                 0.5932,                 2.8603,                0.99308,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.0314,                 2.1449,                 1.3945,                0.00556,                      1,                0.78716,                0.49089,                 0.5305,                 2.8541,                0.95713,              0.0001802,              0.0001802,              0.0001802
                     12,                0.59288,                 1.7735,                 1.2127,                0.00556,                      1,                  0.795,                0.57828,                0.45548,                 2.8385,                0.87832,             0.00019604,             0.00019604,             0.00019604
                     13,                0.88249,                 1.7585,                 1.2405,                0.00556,                      1,                0.75258,                   0.59,                0.50839,                 2.7858,                0.89221,             0.00021149,             0.00021149,             0.00021149
                     14,                0.76703,                 1.5821,                 1.1777,                0.00556,                      1,                0.87833,                 0.6593,                0.55619,                  2.751,                0.91999,             0.00022654,             0.00022654,             0.00022654
                     15,                0.81153,                 1.4926,                 1.2361,                0.00556,                      1,                0.88591,                0.66693,                0.56225,                 2.7329,                 0.9392,             0.00024119,             0.00024119,             0.00024119
                     16,                0.89993,                 1.4505,                 1.3076,                0.00556,                      1,                  0.895,                 0.7439,                0.51813,                 2.6959,                0.87097,             0.00025545,             0.00025545,             0.00025545
                     17,                0.68423,                 1.2649,                 1.2084,                0.00556,                      1,                0.83071,                0.75228,                0.46438,                 2.6456,                0.86557,             0.00026931,             0.00026931,             0.00026931
                     18,                0.63043,                 1.2134,                 1.1716,                0.00556,                      1,                0.80333,                0.69959,                0.41595,                  2.635,                0.84584,             0.00028278,             0.00028278,             0.00028278
                     19,                0.64389,                  1.075,                 1.1186,                0.00556,                      1,                0.80333,                0.69837,                0.44188,                 2.6396,                0.85258,             0.00029585,             0.00029585,             0.00029585
                     20,                0.53505,                0.99142,                 1.0627,                0.00556,                      1,                0.83944,                0.72419,                0.48809,                 2.6265,                0.86291,             0.00030852,             0.00030852,             0.00030852
                     21,                0.62209,                 1.2288,                 1.1818,                0.00556,                      1,                0.83944,                0.72419,                0.48809,                 2.6265,                0.86291,              0.0003208,              0.0003208,              0.0003208
                     22,                0.51665,                 1.0039,                 1.0581,                0.00556,                      1,                0.90611,                0.82978,                0.50637,                 2.5899,                0.86624,             0.00033268,             0.00033268,             0.00033268
                     23,                0.54482,                 1.0596,                 1.0911,                0.00556,                      1,                0.90611,                0.82978,                0.50637,                 2.5899,                0.86624,             0.00034417,             0.00034417,             0.00034417
                     24,                0.56987,                0.98615,                 1.1394,                 0.5157,                    0.8,                  0.895,                0.81199,                0.51721,                 2.4929,                0.84909,             0.00035526,             0.00035526,             0.00035526
                     25,                0.65727,                0.97674,                 1.0633,                 0.5157,                    0.8,                  0.895,                0.81199,                0.51721,                 2.4929,                0.84909,             0.00036595,             0.00036595,             0.00036595
