Image_Name: 0142_CHD_1
Class: Clothes
Inner Main Points: [(239.98713813232004, 493.192131024123), (301.44357048146753, 502.34692471288895), (111.03905196021627, 513.6610530235554), (332.39505351380876, 509.1556361536484), (305.49354278373494, 564.1245670121874)]
Mask Points:
[[     271.78      326.31]
 [     271.78      330.57]
 [     270.36      331.99]
 [     268.94      331.99]
 [     267.52      333.41]
 [     263.26      333.41]
 [     261.84      334.83]
 [     254.75      334.83]
 [     253.33      336.24]
 [     241.98      336.24]
 [     240.56      337.66]
 [     236.31      337.66]
 [     234.89      336.24]
 [     226.38      336.24]
 [     224.96      334.83]
 [      220.7      334.83]
 [     219.28      333.41]
 [     212.19      333.41]
 [     210.77      331.99]
 [     199.42      331.99]
 [        198      333.41]
 [     195.16      333.41]
 [     193.74      334.83]
 [     190.91      334.83]
 [     189.49      336.24]
 [     188.07      336.24]
 [     185.23      339.08]
 [     182.39      339.08]
 [     180.98       340.5]
 [     179.56       340.5]
 [     178.14      341.92]
 [     169.62      341.92]
 [     168.21      343.34]
 [     166.79      343.34]
 [     165.37      341.92]
 [     136.99      341.92]
 [     135.58       340.5]
 [     132.74       340.5]
 [     131.32      339.08]
 [     127.06      339.08]
 [     125.64      337.66]
 [     118.55      337.66]
 [     117.13      339.08]
 [     115.71      339.08]
 [     114.29       340.5]
 [     105.78       340.5]
 [     104.36      341.92]
 [     101.53      341.92]
 [     100.11      343.34]
 [     97.269      343.34]
 [      95.85      344.76]
 [     94.431      344.76]
 [     93.013      346.18]
 [     91.594      346.18]
 [     90.175      347.59]
 [     87.338      347.59]
 [     85.919      349.01]
 [     81.663      349.01]
 [     80.244      350.43]
 [     70.312      350.43]
 [     68.894      351.85]
 [     64.638      351.85]
 [     64.638      598.71]
 [     70.312      598.71]
 [     71.731      600.13]
 [      73.15      600.13]
 [     74.569      601.55]
 [     83.081      601.55]
 [       84.5      602.97]
 [     101.53      602.97]
 [     102.94      604.39]
 [     122.81      604.39]
 [     124.23      602.97]
 [     141.25      602.97]
 [     142.67      604.39]
 [     144.09      602.97]
 [     156.86      602.97]
 [     158.28      601.55]
 [     173.88      601.55]
 [      175.3      602.97]
 [     210.77      602.97]
 [     212.19      604.39]
 [     233.47      604.39]
 [     234.89      605.81]
 [     239.14      605.81]
 [     240.56      607.23]
 [     270.36      607.23]
 [     271.78      605.81]
 [     280.29      605.81]
 [     281.71      607.23]
 [     304.41      607.23]
 [     305.83      605.81]
 [     324.27      605.81]
 [     325.69      604.39]
 [     331.36      604.39]
 [     332.78      602.97]
 [      334.2      602.97]
 [     338.46      598.71]
 [     338.46      576.01]
 [     339.88      574.59]
 [     339.88      495.14]
 [     341.29      493.73]
 [     341.29      488.05]
 [     342.71      486.63]
 [     346.97      486.63]
 [     346.97      336.24]
 [     342.71      336.24]
 [     341.29      334.83]
 [     338.46      334.83]
 [     337.04      333.41]
 [     332.78      333.41]
 [     331.36      331.99]
 [     327.11      331.99]
 [     325.69      330.57]
 [     325.69      326.31]]
