Image_Name: 1724082651259
Class: Eye
Inner Main Points: [(678.5416642371281, 563.5501312987856), (677.5474114794973, 580.8255765002332), (682.2890064705188, 601.3566856868331), (679.2820731290207, 555.9282088654938), (704.995420615961, 580.0246459804379)]
Mask Points:
[[        654         549]
 [        654         600]
 [        663         600]
 [        672         609]
 [        675         609]
 [        678         612]
 [        693         612]
 [        696         609]
 [        711         609]
 [        711         573]
 [        699         573]
 [        687         561]
 [        687         549]]
