Image_Name: 0142_CHD_2
Class: Face
Inner Main Points: [(206.20886437742325, 305.56279363217516), (185.18885402021485, 304.21312786437124), (181.04125737617306, 337.81851699737445), (143.24489144828016, 320.93128177431703), (112.02062512318699, 271.4264473819625)]
Mask Points:
[[     101.97      268.38]
 [     101.97      314.99]
 [     106.21      314.99]
 [     109.04      317.81]
 [     110.45      317.81]
 [     113.27      320.64]
 [     114.69      320.64]
 [     117.51      323.46]
 [     118.92      323.46]
 [     120.34      324.88]
 [     121.75      324.88]
 [     124.57       327.7]
 [     125.99       327.7]
 [      127.4      329.11]
 [     128.81      329.11]
 [     130.22      330.52]
 [     131.64      330.52]
 [     133.05      331.94]
 [     134.46      331.94]
 [     135.88      333.35]
 [     137.29      333.35]
 [      138.7      334.76]
 [     140.11      334.76]
 [     141.52      336.17]
 [     144.35      336.17]
 [     145.76      337.59]
 [     148.59      337.59]
 [     151.41      340.41]
 [     152.82      340.41]
 [     154.24      341.83]
 [     157.06      341.83]
 [     158.47      343.24]
 [     159.89      343.24]
 [      161.3      344.65]
 [     162.71      344.65]
 [     166.95      348.89]
 [     166.95      351.71]
 [     168.36      353.12]
 [     168.36      357.36]
 [     182.49      357.36]
 [     182.49      353.12]
 [     185.31       350.3]
 [     192.38       350.3]
 [     193.79      351.71]
 [      195.2      351.71]
 [     196.61      353.12]
 [     196.61      357.36]
 [     200.85      357.36]
 [     200.85      353.12]
 [     207.91      346.06]
 [     209.32      346.06]
 [     210.74      344.65]
 [     213.56      344.65]
 [     214.97      343.24]
 [     219.21      343.24]
 [     220.62      341.83]
 [     222.04      341.83]
 [     223.45      340.41]
 [     226.27      340.41]
 [     227.69         339]
 [     230.51         339]
 [     231.93      337.59]
 [     236.16      337.59]
 [     237.57      336.17]
 [      240.4      336.17]
 [     241.81      334.76]
 [     244.64      334.76]
 [     246.05      333.35]
 [     247.46      333.35]
 [     248.88      331.94]
 [     250.29      331.94]
 [      251.7      330.52]
 [     253.11      330.52]
 [     254.52      329.11]
 [     257.35      329.11]
 [     258.76       327.7]
 [     260.17       327.7]
 [     261.59      326.29]
 [        263      326.29]
 [     264.41      324.88]
 [     265.82      324.88]
 [     267.24      323.46]
 [     268.65      323.46]
 [     270.06      322.05]
 [     271.48      322.05]
 [     272.89      320.64]
 [      274.3      320.64]
 [     275.71      319.23]
 [     277.12      319.23]
 [     279.95       316.4]
 [     287.01       316.4]
 [     287.01      268.38]]
