Image_Name: 0142_CHD_1
Class: Hair
Inner Main Points: [(36.10691674972234, 119.21427141879447), (195.98951309360666, 108.62880540741888), (321.0706859241439, 189.18421767609587), (335.75970819671954, 129.47088300628423), (136.668193964784, 85.3712990679828)]
Mask Points:
[[     169.62      19.863]
 [     169.62      24.119]
 [     168.21      25.538]
 [     166.79      25.538]
 [     165.37      26.956]
 [     162.53      26.956]
 [     161.11      28.375]
 [     156.86      28.375]
 [     155.44      29.794]
 [      152.6      29.794]
 [     151.18      31.213]
 [     149.76      31.213]
 [     148.34      32.631]
 [     146.93      32.631]
 [     145.51       34.05]
 [     142.67       34.05]
 [     141.25      35.469]
 [     139.83      35.469]
 [     138.41      36.888]
 [     136.99      36.888]
 [     135.58      38.306]
 [     134.16      38.306]
 [     132.74      39.725]
 [     131.32      39.725]
 [      129.9      41.144]
 [     127.06      41.144]
 [     124.23      43.981]
 [     122.81      43.981]
 [     121.39        45.4]
 [     119.97        45.4]
 [     118.55      46.819]
 [     117.13      46.819]
 [     112.88      51.075]
 [     111.46      51.075]
 [     110.04      52.494]
 [     108.62      52.494]
 [     104.36       56.75]
 [     102.94       56.75]
 [     100.11      59.588]
 [     98.688      59.588]
 [     87.338      70.938]
 [     85.919      70.938]
 [     85.919      72.356]
 [     74.569      83.706]
 [     74.569      85.125]
 [     71.731      87.963]
 [     71.731      89.381]
 [     67.475      93.638]
 [     67.475      95.056]
 [     56.125      106.41]
 [     54.706      106.41]
 [     51.869      109.24]
 [      50.45      109.24]
 [     47.613      112.08]
 [     46.194      112.08]
 [     43.356      114.92]
 [     41.938      114.92]
 [       39.1      117.76]
 [     37.681      117.76]
 [     36.263      119.18]
 [     34.844      119.18]
 [     32.006      122.01]
 [     30.588      122.01]
 [     29.169      123.43]
 [     24.913      123.43]
 [     24.913      127.69]
 [     41.938      127.69]
 [     46.194      131.94]
 [     46.194      133.36]
 [     44.775      134.78]
 [     44.775      137.62]
 [     43.356      139.04]
 [     43.356      141.88]
 [     41.938      143.29]
 [     41.938      144.71]
 [     40.519      146.13]
 [     40.519      148.97]
 [       39.1      150.39]
 [       39.1      153.23]
 [     37.681      154.64]
 [     37.681       158.9]
 [     36.263      160.32]
 [     36.263      164.58]
 [     34.844      165.99]
 [     34.844      174.51]
 [     33.425      175.93]
 [     33.425      184.44]
 [     34.844      185.86]
 [     34.844      190.11]
 [     36.263      190.11]
 [     49.031      177.34]
 [      50.45      177.34]
 [     51.869      175.93]
 [     54.706      175.93]
 [     57.544      178.76]
 [     57.544      192.95]
 [     56.125      194.37]
 [     56.125      201.46]
 [     57.544      202.88]
 [     57.544      211.39]
 [     58.963      212.81]
 [     58.963      217.07]
 [     60.381      218.49]
 [     60.381      221.33]
 [       61.8      222.74]
 [       61.8      225.58]
 [     63.219         227]
 [     63.219      228.42]
 [     64.638      229.84]
 [     64.638      231.26]
 [     66.056      232.68]
 [     66.056      234.09]
 [     67.475      234.09]
 [     68.894      235.51]
 [     80.244      235.51]
 [     80.244      228.42]
 [     78.825         227]
 [     78.825      221.33]
 [     77.406      219.91]
 [     77.406      194.37]
 [     78.825      192.95]
 [     78.825      185.86]
 [     80.244      184.44]
 [     80.244       181.6]
 [     81.663      180.18]
 [     81.663      177.34]
 [     83.081      175.93]
 [     83.081      173.09]
 [       84.5      171.67]
 [       84.5      170.25]
 [     88.756      165.99]
 [     88.756      164.58]
 [     91.594      161.74]
 [     91.594      160.32]
 [     110.04      141.88]
 [     110.04      140.46]
 [     112.88      137.62]
 [     112.88       136.2]
 [     117.13      131.94]
 [     117.13      130.53]
 [     127.06      120.59]
 [     127.06      119.18]
 [     138.41      107.83]
 [     139.83      107.83]
 [     141.25      106.41]
 [     142.67      106.41]
 [     144.09      104.99]
 [     148.34      104.99]
 [     149.76      106.41]
 [     149.76      107.83]
 [     151.18      109.24]
 [     151.18      120.59]
 [      152.6      122.01]
