Image_Name: 13f80ff7bdf28c488d6ae70cb9a03c6a
Class: Stock
Inner Main Points: [(204.95078785637858, 797.6974227810136), (207.00182120991417, 797.0894756023156), (208.80051608681032, 792.7566803605458), (208.62943092518546, 792.5285010409741), (206.91691516433428, 797.978122574711)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     183.89      802.09]
 [     188.01      806.21]
 [     189.39      806.21]
 [     193.51      810.33]
 [     194.88      810.33]
 [     196.25       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     218.23      813.08]
 [      219.6       811.7]
 [     222.35       811.7]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
