Image_Name: 14712655c54add4b16a44b67fffb03cd
Class: Stock
Inner Main Points: [(205.6470099046071, 794.3784027153608), (205.50598627525858, 797.400092623463), (204.31204494399006, 794.0066354581933), (201.49952309535954, 796.7162791461483), (206.19589143252801, 797.6629963617512)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     183.89      802.09]
 [     188.01      806.21]
 [     189.39      806.21]
 [     193.51      810.33]
 [     194.88      810.33]
 [     196.25       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     218.23      813.08]
 [      219.6       811.7]
 [     222.35       811.7]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
