Image_Name: 1723029390132
Class: Hair
Inner Main Points: [(47.08508946293467, 150.89479536808034), (62.62240893058326, 152.3030083641342), (124.09721245896145, 57.99416002581618), (162.78614659343927, 102.4242710056218), (348.9915616919756, 135.9431773897798)]
Mask Points:
[[     155.44      25.538]
 [     155.44      29.794]
 [     154.02      31.213]
 [      152.6      31.213]
 [     151.18      32.631]
 [     149.76      32.631]
 [     148.34       34.05]
 [     146.93       34.05]
 [     145.51      35.469]
 [     144.09      35.469]
 [     142.67      36.888]
 [     139.83      36.888]
 [     138.41      38.306]
 [     136.99      38.306]
 [     135.58      39.725]
 [     134.16      39.725]
 [     132.74      41.144]
 [     131.32      41.144]
 [      129.9      42.562]
 [     128.48      42.562]
 [     127.06      43.981]
 [     125.64      43.981]
 [     122.81      46.819]
 [     121.39      46.819]
 [     119.97      48.238]
 [     117.13      48.238]
 [     112.88      52.494]
 [     111.46      52.494]
 [      107.2       56.75]
 [     105.78       56.75]
 [     101.53      61.006]
 [     100.11      61.006]
 [     83.081      78.031]
 [     81.663      78.031]
 [     81.663       79.45]
 [     75.988      85.125]
 [     75.988      86.544]
 [     70.312      92.219]
 [     70.312      93.638]
 [     68.894      95.056]
 [     68.894      96.475]
 [     67.475      97.894]
 [     66.056      97.894]
 [     64.638      99.313]
 [     64.638      102.15]
 [     63.219      103.57]
 [       61.8      103.57]
 [     60.381      104.99]
 [     58.963      104.99]
 [     54.706      109.24]
 [     53.288      109.24]
 [     51.869      110.66]
 [     49.031      110.66]
 [     44.775      114.92]
 [     43.356      114.92]
 [     41.938      116.34]
 [     40.519      116.34]
 [     40.519      117.76]
 [       39.1      119.18]
 [     37.681      119.18]
 [     36.263      120.59]
 [     30.588      120.59]
 [     30.588      127.69]
 [     37.681      127.69]
 [       39.1      129.11]
 [     40.519      129.11]
 [     44.775      133.36]
 [     44.775      137.62]
 [     43.356      139.04]
 [     43.356      141.88]
 [     41.938      143.29]
 [     41.938      144.71]
 [     40.519      146.13]
 [     40.519      148.97]
 [       39.1      150.39]
 [       39.1      154.64]
 [     37.681      156.06]
 [     37.681      160.32]
 [     34.844      163.16]
 [     30.588      163.16]
 [     30.588      191.53]
 [     36.263      191.53]
 [     41.938      185.86]
 [     49.031      185.86]
 [      50.45      187.28]
 [     51.869      187.28]
 [     53.288      188.69]
 [     53.288      190.11]
 [     54.706      191.53]
 [     54.706      195.79]
 [     56.125      197.21]
 [     56.125      202.88]
 [     57.544       204.3]
 [     57.544      208.56]
 [     58.963      209.98]
 [     58.963      212.81]
 [     60.381      214.23]
 [     60.381      217.07]
 [       61.8      218.49]
 [       61.8      222.74]
 [     63.219      224.16]
 [     63.219      225.58]
 [     64.638         227]
 [     68.894         227]
 [     70.312      225.58]
 [     70.312      222.74]
 [     71.731      221.33]
 [     71.731      218.49]
 [      73.15      217.07]
 [      73.15      212.81]
 [     74.569      211.39]
 [     74.569      207.14]
 [     75.988      205.72]
 [     75.988      197.21]
 [     77.406      195.79]
 [     77.406      192.95]
 [     80.244      190.11]
 [     80.244      188.69]
 [     81.663      187.28]
 [     81.663      185.86]
 [     87.338      180.18]
 [     87.338      178.76]
 [     90.175      175.93]
 [     90.175      174.51]
 [     91.594      173.09]
 [     91.594      171.67]
 [     94.431      168.83]
 [     94.431      167.41]
 [     97.269      164.58]
 [     97.269      163.16]
 [     100.11      160.32]
 [     100.11       158.9]
 [     101.53      157.48]
 [     101.53      156.06]
 [     102.94      154.64]
 [     102.94      153.23]
 [     108.62      147.55]
 [     108.62      146.13]
 [     110.04      144.71]
 [     110.04      143.29]
 [     112.88      140.46]
 [     112.88      139.04]
 [     114.29      137.62]
 [     114.29       136.2]
 [     115.71      134.78]
 [     115.71      133.36]
 [     118.55      130.53]
 [     118.55      129.11]
 [     121.39      126.27]
 [     121.39      124.85]
 [      129.9      116.34]
 [     131.32      116.34]
 [     132.74      114.92]
 [     134.16      114.92]
 [     138.41      110.66]
 [     139.83      110.66]
 [     141.25      109.24]
 [     144.09      109.24]
 [     145.51      110.66]
 [     145.51      112.08]
 [     146.93       113.5]
 [     146.93      116.34]
 [     148.34      117.76]
 [     148.34      119.18]
 [     149.76      120.59]
 [     149.76      122.01]
 [     155.44      127.69]
 [     155.44      129.11]
 [     156.86      130.53]
 [     156.86      139.04]
 [     158.28      140.46]
 [     158.28      144.71]
 [     159.69      146.13]
 [     159.69      148.97]
 [     161.11      150.39]
 [     161.11      151.81]
 [     163.95      154.64]
 [     163.95      156.06]
 [     166.79       158.9]
 [     169.62       158.9]
 [     171.04      160.32]
 [     172.46      160.32]
 [     173.88       158.9]
 [     176.72       158.9]
 [     178.14      157.48]
 [     179.56      157.48]
 [     182.39      154.64]
 [     185.23      154.64]
 [     186.65      153.23]
 [     188.07      153.23]
 [     189.49      151.81]
 [     192.33      151.81]
 [     193.74      150.39]
 [     196.58      150.39]
 [        198      148.97]
 [     199.42      148.97]
 [     207.93      140.46]
 [     207.93      139.04]
 [     210.77       136.2]
 [     210.77      133.36]
 [     212.19      131.94]
 [     212.19      130.53]
 [     213.61      129.11]
 [     213.61      126.27]
 [     215.03      124.85]
 [     215.03      122.01]
 [     216.44      120.59]
 [     216.44      119.18]
 [     217.86      117.76]
 [     217.86      116.34]
 [     219.28      114.92]
 [     219.28       113.5]
 [      220.7      112.08]
 [      220.7      109.24]
 [     222.12      107.83]
 [     222.12      104.99]
 [     223.54      103.57]
 [     223.54      102.15]
 [     224.96      100.73]
 [     224.96      99.313]
 [     229.21      95.056]
 [     234.89      95.056]
 [      243.4      103.57]
 [     244.82      103.57]
 [     249.08      107.83]
 [     249.08      109.24]
 [     253.33       113.5]
 [     254.75       113.5]
 [     259.01      117.76]
 [     260.43      117.76]
 [     268.94      126.27]
 [     270.36      126.27]
 [     285.96      141.88]
 [     287.38      141.88]
 [      288.8      143.29]
 [     290.22      143.29]
 [     295.89      148.97]
 [     297.31      148.97]
 [     304.41      156.06]
 [     304.41       158.9]
 [     305.83      160.32]
 [     305.83      165.99]
 [     307.24      167.41]
 [     307.24      170.25]
 [     308.66      171.67]
 [     308.66      174.51]
 [     310.08      175.93]
 [     310.08      178.76]
 [      311.5      180.18]
 [      311.5       181.6]
 [     312.92      183.02]
 [     312.92      184.44]
 [     314.34      185.86]
 [     314.34      188.69]
 [     315.76      190.11]
 [     315.76      191.53]
 [     317.18      192.95]
 [     317.18      195.79]
 [     318.59      197.21]
 [     318.59      214.23]
 [     317.18      215.65]
 [     317.18      217.07]
 [     318.59      218.49]
 [     318.59      219.91]
 [     320.01      221.33]
 [     322.85      221.33]
 [     324.27      222.74]
 [     338.46      222.74]
 [     339.88      221.33]
 [     341.29      221.33]
 [     344.13      218.49]
 [     344.13      217.07]
 [     345.55      215.65]
 [     345.55      212.81]
 [     346.97      211.39]
 [     346.97      209.98]
 [     348.39      208.56]
 [     348.39      207.14]
 [     349.81      205.72]
 [     349.81       204.3]
 [     351.23      202.88]
 [     351.23      200.04]
 [     352.64      198.63]
 [     352.64      197.21]
 [     355.48      194.37]
 [      356.9      194.37]
 [     358.32      192.95]
 [     363.99      192.95]
 [     363.99       113.5]
 [     359.74       113.5]
 [      356.9      110.66]
 [      356.9      107.83]
 [     355.48      106.41]
 [     355.48      103.57]
 [      356.9      102.15]
 [      356.9      99.313]
 [     359.74      96.475]
 [     363.99      96.475]
 [     363.99      25.538]]
