Image_Name: 1724160983766
Class: Clothes
Inner Main Points: [(130.90270379380618, 556.7996076672466), (157.57859202171232, 502.91702289814737), (182.5449660413237, 433.563922355219), (133.22180059694747, 439.59054297818227), (208.51876488409613, 349.62492852225927)]
Mask Points:
[[     102.86      326.88]
 [     102.86      401.04]
 [     106.98      401.04]
 [     108.35      402.42]
 [     108.35      410.66]
 [     109.73      412.03]
 [     109.73      420.27]
 [     108.35      421.65]
 [     108.35      432.63]
 [     106.98      434.01]
 [     102.86      434.01]
 [     102.86      572.72]
 [     146.81      572.72]
 [     146.81       568.6]
 [     148.18      567.23]
 [     155.05      567.23]
 [     156.42       568.6]
 [     156.42      572.72]
 [     159.17      572.72]
 [     159.17       568.6]
 [     160.54      567.23]
 [     164.66      567.23]
 [     166.04      565.86]
 [      178.4      565.86]
 [     179.77      567.23]
 [     183.89      567.23]
 [     185.27       568.6]
 [     185.27      572.72]
 [     194.88      572.72]
 [     194.88       568.6]
 [     196.25      567.23]
 [     197.63      567.23]
 [        199      565.86]
 [     201.75      565.86]
 [     203.12      564.48]
 [     205.87      564.48]
 [     207.24      563.11]
 [     226.47      563.11]
 [     227.84      564.48]
 [     234.71      564.48]
 [     236.08      565.86]
 [     238.83      565.86]
 [      240.2      567.23]
 [     241.58      567.23]
 [     242.95       568.6]
 [     242.95      572.72]
 [     258.06      572.72]
 [     258.06      567.23]
 [     259.43      565.86]
 [     259.43      564.48]
 [     262.18      561.74]
 [      266.3      561.74]
 [      266.3       506.8]
 [     262.18       506.8]
 [      260.8      505.42]
 [      260.8      458.73]
 [     259.43      457.35]
 [     259.43       439.5]
 [     258.06      438.13]
 [     258.06      410.66]
 [     256.68      409.28]
 [     256.68      403.79]
 [     255.31      402.42]
 [     255.31      401.04]
 [     253.94      399.67]
 [     253.94      395.55]
 [     252.56      394.18]
 [     252.56      391.43]
 [     251.19      390.06]
 [     251.19      387.31]
 [     249.82      385.94]
 [     249.82      379.07]
 [     248.44       377.7]
 [     248.44      326.88]]
