Image_Name: 2183fcc439ea836b99119e88ed57f692
Class: Hand
Inner Main Points: [(358.99090444005867, 600.8448570951246), (359.1918956612772, 603.1892312807556), (354.59508626458336, 597.6315087684034), (359.08576700068556, 600.4530950229783), (362.4646460246434, 610.9517578529693)]
Mask Points:
[[      342.1      579.12]
 [      342.1      583.36]
 [     340.69      584.78]
 [     340.69      586.19]
 [     335.04      591.84]
 [     333.62      591.84]
 [      330.8      594.66]
 [     329.39      594.66]
 [     326.56      597.49]
 [     322.32      597.49]
 [     322.32      611.61]
 [     326.56      611.61]
 [     327.98      613.03]
 [      330.8      613.03]
 [     332.21      614.44]
 [     335.04      614.44]
 [     336.45      615.85]
 [     340.69      615.85]
 [      342.1      617.26]
 [     344.92      617.26]
 [     350.57      622.91]
 [     350.57      624.33]
 [     351.99      625.74]
 [     351.99      627.15]
 [      353.4      628.56]
 [      353.4      629.97]
 [     356.23       632.8]
 [     357.64       632.8]
 [     360.46      635.62]
 [     360.46      639.86]
 [     373.18      639.86]
 [     373.18      628.56]
 [     374.59      627.15]
 [     374.59      625.74]
 [     377.41      622.91]
 [     381.65      627.15]
 [     381.65      628.56]
 [     383.06      628.56]
 [     384.48      629.97]
 [      387.3      629.97]
 [     388.71      631.39]
 [     390.13      629.97]
 [     391.54      629.97]
 [     391.54      620.09]
 [     390.13      618.67]
 [     390.13      615.85]
 [      387.3      613.03]
 [      387.3      611.61]
 [     388.71       610.2]
 [     397.19       610.2]
 [      398.6      608.79]
 [     400.01      608.79]
 [     401.43      607.38]
 [     405.66      607.38]
 [     405.66      601.72]
 [     400.01      601.72]
 [      398.6      600.31]
 [      398.6       598.9]
 [     394.36      594.66]
 [     392.95      594.66]
 [     391.54      593.25]
 [     390.13      593.25]
 [     388.71      591.84]
 [      387.3      591.84]
 [     384.48      589.01]
 [     383.06      589.01]
 [     381.65       587.6]
 [     380.24       587.6]
 [     378.83      586.19]
 [     377.41      586.19]
 [     374.59      583.36]
 [     374.59      579.12]]
