Image_Name: 2183fcc439ea836b99119e88ed57f692
Class: Shoe
Inner Main Points: [(222.15239146514577, 858.8898513215842), (226.88194872525867, 868.0819026109292), (230.43764615930505, 867.2893648366229), (222.5243099696454, 856.373244990355), (219.03371442362572, 857.1945564465747)]
Mask Points:
[[     257.35      827.72]
 [     257.35      833.38]
 [     258.76      834.79]
 [     258.76      843.26]
 [     257.35      844.67]
 [      251.7      844.67]
 [     250.29      843.26]
 [     248.88      843.26]
 [     246.05      840.44]
 [     244.64      840.44]
 [     243.22      839.03]
 [     241.81      839.03]
 [      240.4      837.61]
 [     223.45      837.61]
 [     222.04      839.03]
 [     219.21      839.03]
 [      217.8      840.44]
 [     216.39      840.44]
 [     214.97      841.85]
 [     210.74      841.85]
 [     209.32      843.26]
 [     203.68      843.26]
 [     203.68      894.11]
 [     247.46      894.11]
 [     247.46      889.88]
 [     248.88      888.46]
 [     250.29      888.46]
 [      251.7      887.05]
 [     254.52      887.05]
 [     255.94      885.64]
 [     258.76      885.64]
 [     260.17      884.22]
 [        263      884.22]
 [     267.24      879.99]
 [     268.65      879.99]
 [     271.48      877.16]
 [     275.71      877.16]
 [     275.71      843.26]
 [     271.48      843.26]
 [     268.65      840.44]
 [     268.65      839.03]
 [     267.24      837.61]
 [     267.24       836.2]
 [     265.82      834.79]
 [     265.82      833.38]
 [     264.41      831.96]
 [     264.41      827.72]]
