Image_Name: 24d62cf72f63d2f61587a5b95dac6457
Class: Shoe
Inner Main Points: [(242.65979094915787, 867.0129690675034), (256.06400553499986, 860.6435986711828), (226.0401821244391, 876.5760648724188), (220.34931019106858, 878.2444473969863), (253.2983098953823, 868.5183011710783)]
Mask Points:
[[     257.35      827.72]
 [     257.35      833.38]
 [     258.76      834.79]
 [     258.76      843.26]
 [     257.35      844.67]
 [      251.7      844.67]
 [     250.29      843.26]
 [     248.88      843.26]
 [     246.05      840.44]
 [     244.64      840.44]
 [     243.22      839.03]
 [     241.81      839.03]
 [      240.4      837.61]
 [     223.45      837.61]
 [     222.04      839.03]
 [     219.21      839.03]
 [      217.8      840.44]
 [     216.39      840.44]
 [     214.97      841.85]
 [     210.74      841.85]
 [     209.32      843.26]
 [     203.68      843.26]
 [     203.68      894.11]
 [     247.46      894.11]
 [     247.46      889.88]
 [     248.88      888.46]
 [     250.29      888.46]
 [      251.7      887.05]
 [     254.52      887.05]
 [     255.94      885.64]
 [     258.76      885.64]
 [     260.17      884.22]
 [        263      884.22]
 [     267.24      879.99]
 [     268.65      879.99]
 [     271.48      877.16]
 [     275.71      877.16]
 [     275.71      843.26]
 [     271.48      843.26]
 [     268.65      840.44]
 [     268.65      839.03]
 [     267.24      837.61]
 [     267.24       836.2]
 [     265.82      834.79]
 [     265.82      833.38]
 [     264.41      831.96]
 [     264.41      827.72]]
