Image_Name: 33f7ceec5682aafb9082b649e4b3ecc7
Class: Pants
Inner Main Points: [(202.71628976443284, 634.7756852803398), (244.11866811360426, 696.6852847361268), (154.9366399330387, 652.4054230397328), (223.8768768892718, 687.9399991225489), (193.27777552008854, 691.7829575650107)]
Mask Points:
[[     96.325      584.78]
 [     96.325      713.31]
 [     110.45      713.31]
 [     110.45      709.08]
 [     111.86      707.66]
 [     114.69      707.66]
 [      116.1      706.25]
 [     131.64      706.25]
 [     133.05      707.66]
 [     134.46      707.66]
 [     135.88      709.08]
 [     135.88      713.31]
 [     151.41      713.31]
 [     151.41      707.66]
 [     154.24      704.84]
 [     155.65      704.84]
 [     157.06      703.42]
 [     162.71      703.42]
 [     164.12      704.84]
 [     166.95      704.84]
 [     168.36      706.25]
 [      172.6      706.25]
 [     174.01      707.66]
 [     175.43      707.66]
 [     176.84      709.08]
 [     176.84      713.31]
 [     234.75      713.31]
 [     234.75      709.08]
 [     236.16      707.66]
 [     237.57      709.08]
 [     237.57      713.31]
 [     261.59      713.31]
 [     261.59      709.08]
 [        263      707.66]
 [     264.41      707.66]
 [     265.82      706.25]
 [     267.24      706.25]
 [     268.65      704.84]
 [     270.06      704.84]
 [      274.3       700.6]
 [      274.3      699.19]
 [     275.71      697.78]
 [     275.71      692.12]
 [      274.3      690.71]
 [      274.3      625.74]
 [     272.89      624.33]
 [      274.3      622.91]
 [      274.3      613.03]
 [     275.71      611.61]
 [     275.71       610.2]
 [     277.12      608.79]
 [     281.36      608.79]
 [     281.36      584.78]]
