Image_Name: 5011ae6809e5ccb81556134863b56720
Class: Hand
Inner Main Points: [(338.1756163013819, 599.1363225803049), (357.29686631575817, 581.7171203119283), (362.5973028803482, 590.483455938765), (374.3372549053426, 613.9439987484391), (353.09745386789814, 588.5019080853457)]
Mask Points:
[[     318.09      550.88]
 [     318.09      555.11]
 [     303.96      569.24]
 [     299.73      569.24]
 [     299.73       598.9]
 [     305.38       598.9]
 [     326.56      620.09]
 [     327.98      620.09]
 [     332.21      624.33]
 [     333.62      624.33]
 [     335.04      625.74]
 [     336.45      625.74]
 [     337.86      627.15]
 [     339.27      627.15]
 [     340.69      628.56]
 [      342.1      628.56]
 [     343.51      629.97]
 [     344.92      629.97]
 [     346.34      631.39]
 [     347.75      631.39]
 [     349.16       632.8]
 [     351.99       632.8]
 [      353.4      634.21]
 [     354.81      634.21]
 [     356.23      635.62]
 [     359.05      635.62]
 [     360.46      637.04]
 [     361.88      637.04]
 [     363.29      638.45]
 [      364.7      638.45]
 [     366.11      639.86]
 [     367.53      639.86]
 [     368.94      641.28]
 [     370.35      641.28]
 [     371.76      642.69]
 [     373.18      642.69]
 [     374.59       644.1]
 [     381.65       644.1]
 [     383.06      645.51]
 [     384.48       644.1]
 [     385.89       644.1]
 [     391.54      638.45]
 [     391.54      637.04]
 [     394.36      634.21]
 [     394.36       632.8]
 [     397.19      629.97]
 [     397.19      628.56]
 [      398.6      627.15]
 [      398.6      625.74]
 [     400.01      624.33]
 [     400.01       621.5]
 [     401.43      620.09]
 [     401.43      618.67]
 [     402.84      617.26]
 [     402.84      614.44]
 [     404.25      613.03]
 [     404.25      600.31]
 [     402.84       598.9]
 [     402.84      594.66]
 [     401.43      593.25]
 [     401.43      591.84]
 [     391.54      581.95]
 [     390.13      581.95]
 [      387.3      579.12]
 [     385.89      579.12]
 [     383.06       576.3]
 [     381.65       576.3]
 [     380.24      574.89]
 [     378.83      574.89]
 [     377.41      573.47]
 [        376      573.47]
 [     374.59      572.06]
 [     373.18      572.06]
 [     370.35      569.24]
 [     368.94      569.24]
 [     359.05      559.35]
 [     357.64      559.35]
 [      353.4      555.11]
 [      353.4      550.88]]
