Image_Name: 6acce9637903ed35cfd710f8e33c6054
Class: Shoe
Inner Main Points: [(159.90016106006513, 824.4414849756623), (170.6663001359785, 834.1804320876021), (214.63457994730413, 848.9868983951192), (134.14488355125542, 832.2785078132255), (188.1504182767454, 836.5420482149653)]
Mask Points:
[[     148.18      793.85]
 [     148.18      797.97]
 [     142.69      803.46]
 [     141.32      803.46]
 [     139.94      804.83]
 [     138.57      804.83]
 [     135.82      807.58]
 [     134.45      807.58]
 [     133.07      808.95]
 [      131.7      808.95]
 [     127.58      813.08]
 [     126.21      813.08]
 [     124.83      814.45]
 [     123.46      814.45]
 [     104.23      833.68]
 [     104.23      835.05]
 [     102.86      836.42]
 [     97.366      836.42]
 [     97.366      861.15]
 [     104.23      861.15]
 [     105.61      862.52]
 [     109.73      862.52]
 [      111.1      863.89]
 [     115.22      863.89]
 [     116.59      865.27]
 [     116.59      869.39]
 [     127.58      869.39]
 [     127.58      865.27]
 [     128.95      863.89]
 [     133.07      863.89]
 [     134.45      865.27]
 [     134.45      869.39]
 [     134.45      865.27]
 [     135.82      863.89]
 [     148.18      863.89]
 [     149.56      865.27]
 [     149.56      869.39]
 [      219.6      869.39]
 [      219.6      865.27]
 [     220.97      863.89]
 [     229.22      863.89]
 [     230.59      862.52]
 [     234.71      862.52]
 [     238.83       858.4]
 [     244.32       858.4]
 [     244.32      818.57]
 [      240.2      818.57]
 [     238.83       817.2]
 [     238.83      810.33]
 [     237.46      808.95]
 [     237.46      806.21]
 [     233.34      802.09]
 [     231.96      803.46]
 [     229.22      803.46]
 [     229.22      806.21]
 [     227.84      807.58]
 [     227.84      808.95]
 [     223.72      813.08]
 [     222.35      813.08]
 [     220.97      814.45]
 [     197.63      814.45]
 [     196.25      813.08]
 [     194.88      813.08]
 [     189.39      807.58]
 [     188.01      807.58]
 [     183.89      803.46]
 [     181.15      803.46]
 [     179.77      802.09]
 [      178.4      802.09]
 [     177.02      800.71]
 [     175.65      800.71]
 [     174.28      799.34]
 [     174.28      793.85]]
