Image_Name: 6acce9637903ed35cfd710f8e33c6054
Class: Stock
Inner Main Points: [(211.03634023783766, 795.6641415957748), (209.73328160471436, 797.8015593407403), (207.61608640443677, 796.1577115298969), (204.15799965337408, 795.6418294738187), (200.15117302809833, 794.02112763188)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     183.89      802.09]
 [     188.01      806.21]
 [     189.39      806.21]
 [     193.51      810.33]
 [     194.88      810.33]
 [     196.25       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     218.23      813.08]
 [      219.6       811.7]
 [     222.35       811.7]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
