Image_Name: 74db33e5332328ba1e980cd14e726526
Class: Stock
Inner Main Points: [(204.7971527318622, 792.5569350773411), (201.28212868219333, 793.3259183569035), (206.7064150700547, 796.6330436742899), (199.92223487953422, 792.5636151751379), (206.0079407017138, 793.7703114139028)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     183.89      802.09]
 [     188.01      806.21]
 [     189.39      806.21]
 [     193.51      810.33]
 [     194.88      810.33]
 [     196.25       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     218.23      813.08]
 [      219.6       811.7]
 [     222.35       811.7]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
