Image_Name: a521f87a662971cf6fec0c6940f8f95e
Class: Shoe
Inner Main Points: [(141.7211429728269, 847.1969350561686), (178.44990925810941, 863.9139406125519), (165.29516753561103, 829.6075519866168), (124.09417402029493, 863.7032439445142), (123.2719064790401, 855.5850300081925)]
Mask Points:
[[     173.88      797.34]
 [     173.88      801.59]
 [     169.62      805.85]
 [     169.62      807.27]
 [     168.21      808.69]
 [     165.37      808.69]
 [     163.95      810.11]
 [      152.6      810.11]
 [     151.18      808.69]
 [     145.51      808.69]
 [     144.09      807.27]
 [     142.67      807.27]
 [     141.25      808.69]
 [     139.83      808.69]
 [     138.41      810.11]
 [      95.85      810.11]
 [     94.431      811.53]
 [     91.594      811.53]
 [     87.338      815.78]
 [     81.663      815.78]
 [     81.663      883.88]
 [     85.919      883.88]
 [     88.756      886.72]
 [     90.175      886.72]
 [     91.594      888.14]
 [     98.688      888.14]
 [     100.11      889.56]
 [     119.97      889.56]
 [     121.39      888.14]
 [     127.06      888.14]
 [     128.48      886.72]
 [     142.67      886.72]
 [     144.09       885.3]
 [     155.44       885.3]
 [     156.86      883.88]
 [     165.37      883.88]
 [     166.79      882.46]
 [     180.98      882.46]
 [     182.39      881.04]
 [     188.07      881.04]
 [     192.33      876.79]
 [     193.74      876.79]
 [     193.74      875.37]
 [     195.16      873.95]
 [     195.16      871.11]
 [     196.58      869.69]
 [     196.58      858.34]
 [        198      856.93]
 [        198       817.2]
 [     196.58      815.78]
 [     196.58      807.27]
 [     195.16      805.85]
 [     195.16      804.43]
 [     193.74      803.01]
 [     193.74      797.34]]
